kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,36581.0,472.0,379.0,5.0,81.0,52.0,605.0,53676.324999999975,44631.442,0.0,1.245382585751979
HEAVY,19366.0,335.0,169.0,5.0,34.0,18.0,1257.0,31394.5,26751.416999999998,0.0,1.982248520710059
CHEMIST,17764.0,139.0,237.0,0.0,8.0,14.0,142.0,9510.735,12262.142,0.0,0.5864978902953587
MEDIC,216911.0,3795.0,3614.0,23.0,21.0,143.0,1798.0,141705.857,394431.2369999998,150842.0,1.0500830105146652
NECRO,6747.0,75.0,24.0,0.0,0.0,0.0,753.0,5023.7880000000005,5963.409000000001,0.0,3.125
ELF,1353.0,7.0,13.0,0.0,2.0,1.0,10.0,690.991,885.3299999999999,0.0,0.5384615384615384
NINJA,39811.0,565.0,1349.0,2.0,66.0,20.0,386.0,58378.52599999999,33262.835,0.0,0.41882876204596
ENGINEER,1832.0,26.0,24.0,0.0,0.0,3.0,176.0,1261.077,1861.8519999999999,0.0,1.0833333333333333
ASSASSIN,9976.0,214.0,285.0,0.0,39.0,1.0,0.0,7614.328,7121.0419999999995,0.0,0.7508771929824561
ARCHER,10723.0,198.0,132.0,1.0,2.0,1.0,76.0,6222.717000000001,7399.463999999999,0.0,1.5
PYRO,5476.0,120.0,36.0,0.0,18.0,0.0,0.0,3640.7099999999996,4505.166,0.0,3.3333333333333335
SCOUT,2181.0,25.0,48.0,0.0,3.0,0.0,5.0,1665.2299999999998,1995.06,0.0,0.5208333333333334
MAGE,3520.0,30.0,37.0,1.0,0.0,0.0,32.0,2859.627,2207.639,0.0,0.8108108108108109
DWARF,95.0,1.0,2.0,0.0,0.0,0.0,0.0,3.5,26.0,0.0,0.5
