kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,20950.0,333.0,342.0,8.0,7.0,73.0,1205.0,23014.653,37011.44099999999,0.0,0.9736842105263158
HEAVY,40018.0,382.0,187.0,1.0,17.0,30.0,986.0,29249.777000000002,28000.747,0.0,2.0427807486631018
NINJA,214.0,1.0,9.0,0.0,0.0,0.0,0.0,317.221,221.999,0.0,0.1111111111111111
MEDIC,9109.0,83.0,47.0,2.0,5.0,3.0,332.0,4034.9919999999997,7521.083,6275.0,1.7659574468085106
SOLDIER,2258.0,16.0,17.0,0.0,3.0,2.0,6.0,1690.411,1954.587,0.0,0.9411764705882353
SCOUT,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MAGE,964.0,9.0,4.0,0.0,0.0,0.0,0.0,1084.895,776.6659999999999,0.0,2.25
PYRO,1072.0,16.0,12.0,0.0,3.0,0.0,0.0,658.54,730.054,0.0,1.3333333333333333
NECRO,1201.0,21.0,29.0,0.0,0.0,2.0,1.0,1232.341,1922.014,0.0,0.7241379310344828
ARCHER,292.0,2.0,2.0,0.0,0.0,0.0,0.0,62.0,96.89,0.0,1.0
DWARF,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
