kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MAGE,4745.0,38.0,23.0,0.0,5.0,1.0,18.0,2179.089,1745.276,0.0,1.6521739130434783
HEAVY,37687.0,356.0,127.0,0.0,63.0,8.0,98.0,43992.76199999999,26559.759999999995,0.0,2.8031496062992125
ELF,2261.0,11.0,10.0,0.0,1.0,1.0,6.0,957.792,736.1899999999999,0.0,1.1
NINJA,27702.0,254.0,434.0,0.0,63.0,5.0,238.0,23938.282999999996,12123.649000000001,0.0,0.5852534562211982
SOLDIER,85431.0,706.0,459.0,3.0,230.0,15.0,273.0,86559.257,54685.86100000001,0.0,1.5381263616557734
NECRO,18569.0,205.0,89.0,2.0,25.0,10.0,230.0,12704.691,9995.310000000001,13.0,2.303370786516854
PYRO,173.0,0.0,1.0,0.0,0.0,0.0,0.0,25.75,71.155,0.0,0.0
CHEMIST,458.0,4.0,1.0,0.0,1.0,0.0,0.0,690.5260000000001,349.637,0.0,4.0
ASSASSIN,982.0,14.0,8.0,0.0,2.0,0.0,0.0,313.775,248.318,0.0,1.75
MEDIC,772.0,4.0,0.0,0.0,0.0,0.0,0.0,147.54399999999998,115.25,26.0,Inf
ENGINEER,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
DWARF,140.0,0.0,0.0,0.0,0.0,0.0,0.0,16.75,0.0,0.0,NaN
ARCHER,165.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,91.6,0.0,0.0
SCOUT,981.0,2.0,1.0,0.0,0.0,0.0,0.0,27.291,21.4,0.0,2.0
