kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,149699.0,1420.0,663.0,11.0,68.0,129.0,2389.0,118261.82500000006,85800.94499999996,0.0,2.1417797888386123
ASSASSIN,31441.0,741.0,901.0,0.0,118.0,6.0,32.0,23531.201999999997,21532.137,0.0,0.8224195338512763
CHEMIST,140902.0,2871.0,2643.0,65.0,65.0,781.0,15805.0,173952.75299999997,251175.87100000004,0.0,1.0862656072644723
MAGE,15084.0,126.0,160.0,2.0,10.0,16.0,231.0,11541.758999999998,10056.640000000001,0.0,0.7875
NINJA,155237.0,3126.0,5662.0,5.0,417.0,52.0,823.0,311668.50100000005,136898.61000000004,0.0,0.55210173083716
PYRO,4657.0,77.0,45.0,0.0,19.0,2.0,7.0,3947.525,3124.8959999999997,0.0,1.711111111111111
ARCHER,88265.0,2675.0,1185.0,1.0,18.0,2.0,36.0,77960.23800000003,69774.83399999999,0.0,2.257383966244726
SOLDIER,127656.0,2212.0,1712.0,36.0,171.0,451.0,7322.0,163453.21,155152.8950000001,0.0,1.2920560747663552
MEDIC,9563.0,167.0,166.0,0.0,1.0,10.0,27.0,8360.591,17147.744000000002,6248.0,1.0060240963855422
DWARF,139.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,12.0,0.0,NaN
ELF,140.0,1.0,1.0,0.0,0.0,0.0,0.0,82.175,81.25,0.0,1.0
NECRO,363.0,4.0,7.0,0.0,0.0,0.0,0.0,404.988,555.872,0.0,0.5714285714285714
SCOUT,7869.0,97.0,213.0,0.0,5.0,7.0,42.0,7871.503000000001,7911.853999999999,0.0,0.45539906103286387
