kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,393949.0,2805.0,5525.0,347.0,256.0,2330.0,85433.0,192027.954,505207.72900000005,0.0,0.5076923076923077
NINJA,344955.0,3957.0,9104.0,107.0,522.0,726.0,7698.0,346205.1029999996,241213.52900000024,0.0,0.43464411247803164
ASSASSIN,67226.0,1234.0,1726.0,9.0,183.0,22.0,837.0,34388.990000000005,40226.137,0.0,0.7149478563151797
MEDIC,61751.0,452.0,755.0,17.0,25.0,158.0,4787.0,25826.41199999999,70650.57400000002,16393.0,0.5986754966887418
CHEMIST,56691.0,473.0,779.0,21.0,40.0,201.0,3883.0,30681.188000000013,69375.59999999996,0.0,0.6071887034659821
HEAVY,539142.0,2293.0,1898.0,96.0,177.0,625.0,21830.0,182003.50200000015,229612.22899999993,0.0,1.208113804004215
MAGE,149133.0,880.0,1335.0,9.0,96.0,101.0,3759.0,90246.087,96644.92200000005,0.0,0.6591760299625468
DWARF,882.0,4.0,6.0,0.0,0.0,0.0,0.0,176.254,352.924,0.0,0.6666666666666666
ELF,67518.0,367.0,705.0,23.0,33.0,161.0,4009.0,22502.153999999995,48662.149,0.0,0.5205673758865248
ARCHER,113115.0,2022.0,1060.0,3.0,17.0,25.0,735.0,54060.856000000036,62719.73500000001,0.0,1.9075471698113207
PYRO,43270.0,547.0,437.0,1.0,117.0,10.0,200.0,26989.755999999998,32419.20499999999,0.0,1.2517162471395882
ENGINEER,14052.0,120.0,77.0,0.0,5.0,2.0,3.0,7871.306000000001,6982.299,0.0,1.5584415584415585
NECRO,52805.0,539.0,313.0,13.0,86.0,59.0,1741.0,36425.73400000002,40113.291999999994,1884.0,1.7220447284345048
FASHIONISTA,6529.0,25.0,40.0,2.0,8.0,10.0,645.0,2112.352,3269.6569999999997,0.0,0.625
SCOUT,138925.0,1093.0,2868.0,13.0,223.0,104.0,839.0,92304.20100000002,113382.68299999995,0.0,0.3811018131101813
