kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NECRO,79386.0,2267.0,948.0,8.0,14.0,73.0,2669.0,100734.35799999998,118484.61100000002,0.0,2.3913502109704643
CHEMIST,39129.0,1028.0,717.0,8.0,10.0,107.0,1465.0,50552.99500000001,66313.16,0.0,1.4337517433751743
HEAVY,24478.0,558.0,206.0,1.0,26.0,12.0,219.0,50073.645000000004,35937.634,0.0,2.70873786407767
MEDIC,12638.0,34.0,29.0,0.0,8.0,0.0,423.0,3730.2650000000003,4515.794,6745.0,1.1724137931034482
PYRO,12136.0,280.0,112.0,0.0,69.0,0.0,0.0,13733.373,10926.723999999998,0.0,2.5
ARCHER,18707.0,533.0,182.0,0.0,1.0,2.0,17.0,15803.756000000001,14141.214000000002,0.0,2.9285714285714284
NINJA,101984.0,2066.0,4205.0,3.0,197.0,31.0,244.0,241764.98099999997,119632.96199999997,0.0,0.49131985731272293
SCOUT,22691.0,291.0,558.0,2.0,33.0,14.0,79.0,28295.163,23731.370000000003,0.0,0.521505376344086
SOLDIER,5245.0,81.0,43.0,2.0,7.0,5.0,264.0,8692.88,6961.8009999999995,0.0,1.8837209302325582
MAGE,557.0,2.0,6.0,0.0,0.0,0.0,8.0,641.19,559.478,0.0,0.3333333333333333
ELF,1570.0,20.0,16.0,1.0,0.0,1.0,34.0,1102.222,1594.186,0.0,1.25
ASSASSIN,5721.0,123.0,125.0,1.0,8.0,4.0,89.0,5152.470000000001,3284.1670000000004,0.0,0.984
ENGINEER,3003.0,40.0,27.0,0.0,3.0,3.0,73.0,3845.0849999999996,2968.937,0.0,1.4814814814814814
FASHIONISTA,226.0,5.0,6.0,0.0,0.0,0.0,0.0,206.399,276.34,0.0,0.8333333333333334
DWARF,771.0,8.0,2.0,0.0,0.0,1.0,79.0,369.341,374.719,0.0,4.0
