kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,164135.0,1871.0,2329.0,130.0,77.0,872.0,26535.0,133355.9,211658.61300000007,0.0,0.8033490768570202
MEDIC,968418.0,16015.0,14415.0,252.0,149.0,2003.0,56264.0,643949.2229999995,1.545369125999998e6,411602.0,1.1109954908081858
ENGINEER,22847.0,183.0,154.0,7.0,21.0,18.0,630.0,14784.380999999998,13493.327000000003,0.0,1.1883116883116882
HEAVY,186870.0,546.0,429.0,12.0,21.0,80.0,1975.0,48413.313000000024,53616.174999999996,0.0,1.2727272727272727
CHEMIST,35202.0,381.0,496.0,9.0,11.0,88.0,1869.0,20495.336999999992,31762.655,0.0,0.7681451612903226
NINJA,54811.0,649.0,1571.0,22.0,70.0,111.0,2103.0,66561.94599999998,45689.98000000001,0.0,0.41311266709102484
SCOUT,7546.0,81.0,164.0,1.0,1.0,12.0,131.0,5352.633000000001,6332.146999999999,0.0,0.49390243902439024
ELF,22607.0,220.0,300.0,10.0,2.0,75.0,1539.0,13393.902000000004,22443.250999999993,0.0,0.7333333333333333
MAGE,41293.0,212.0,305.0,11.0,22.0,52.0,2728.0,21445.769,22875.445,0.0,0.6950819672131148
PYRO,57624.0,881.0,493.0,2.0,236.0,3.0,85.0,39729.937999999995,39095.664999999986,0.0,1.7870182555780934
ASSASSIN,5537.0,128.0,120.0,0.0,10.0,0.0,0.0,3434.085,2932.082,0.0,1.0666666666666667
ARCHER,4479.0,77.0,39.0,0.0,2.0,3.0,114.0,2469.9300000000003,2255.362,0.0,1.9743589743589745
DWARF,448.0,2.0,2.0,0.0,0.0,0.0,0.0,218.149,207.689,0.0,1.0
NECRO,7716.0,135.0,57.0,4.0,0.0,17.0,285.0,5457.814000000001,6970.852000000001,89.0,2.3684210526315788
FASHIONISTA,4929.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.25,0.0,NaN
