kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,85620.0,1181.0,891.0,21.0,43.0,183.0,4418.0,101972.31900000002,109586.37100000001,0.0,1.3254769921436589
NINJA,81437.0,1417.0,2650.0,6.0,173.0,19.0,186.0,145198.18999999997,70951.61000000002,0.0,0.5347169811320754
ARCHER,2231.0,30.0,27.0,1.0,1.0,1.0,38.0,1314.2599999999998,1643.3600000000001,0.0,1.1111111111111112
MEDIC,82112.0,1131.0,1120.0,9.0,26.0,65.0,1380.0,51174.186000000016,116058.017,71149.0,1.0098214285714286
CHEMIST,72144.0,1634.0,1094.0,24.0,15.0,192.0,4007.0,101768.70800000003,118967.22399999999,0.0,1.493601462522852
PYRO,61285.0,1101.0,474.0,2.0,253.0,3.0,127.0,55932.74200000001,50239.83099999999,0.0,2.3227848101265822
SOLDIER,104669.0,1735.0,1524.0,56.0,62.0,374.0,9195.0,117550.968,147272.51299999992,0.0,1.1384514435695539
ASSASSIN,20241.0,474.0,520.0,2.0,33.0,5.0,70.0,12910.636,12287.367,0.0,0.9115384615384615
ELF,5897.0,21.0,28.0,0.0,0.0,2.0,49.0,1150.2659999999998,1949.591,0.0,0.75
MAGE,4688.0,25.0,37.0,2.0,3.0,3.0,174.0,3174.453,3319.925,0.0,0.6756756756756757
FASHIONISTA,3207.0,9.0,12.0,3.0,0.0,4.0,160.0,400.733,742.779,0.0,0.75
NECRO,870.0,7.0,8.0,0.0,1.0,2.0,4.0,609.008,704.811,1.0,0.875
ENGINEER,299.0,2.0,0.0,1.0,0.0,1.0,98.0,91.22,114.52,0.0,Inf
SCOUT,2612.0,23.0,44.0,0.0,2.0,1.0,14.0,1427.7029999999997,1645.5140000000001,0.0,0.5227272727272727
