kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,5192.0,56.0,33.0,1.0,4.0,5.0,79.0,4390.178,4080.712,0.0,1.696969696969697
CHEMIST,108504.0,2976.0,2012.0,42.0,29.0,479.0,9848.0,171733.32799999998,231344.3470000001,0.0,1.4791252485089463
NINJA,3749.0,25.0,89.0,0.0,4.0,1.0,16.0,3903.148,2760.123,0.0,0.2808988764044944
ELF,15395.0,210.0,255.0,10.0,2.0,88.0,1738.0,10768.063,22464.719999999998,0.0,0.8235294117647058
ENGINEER,703.0,4.0,7.0,2.0,0.0,3.0,78.0,385.826,402.078,0.0,0.5714285714285714
PYRO,6696.0,81.0,61.0,1.0,20.0,2.0,37.0,4465.724,4152.139,0.0,1.3278688524590163
ASSASSIN,725.0,14.0,17.0,0.0,1.0,2.0,2.0,364.52,349.22700000000003,0.0,0.8235294117647058
SOLDIER,11292.0,67.0,123.0,3.0,9.0,32.0,716.0,7441.180000000001,9194.325999999997,0.0,0.5447154471544715
MEDIC,12025.0,180.0,125.0,5.0,3.0,19.0,585.0,8029.789000000001,15628.246,6151.0,1.44
NECRO,3493.0,63.0,25.0,2.0,1.0,4.0,105.0,3239.103,3720.2480000000005,0.0,2.52
DWARF,313.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,94.059,0.0,0.0
FASHIONISTA,3235.0,21.0,36.0,1.0,0.0,13.0,387.0,1529.2649999999999,2559.249,0.0,0.5833333333333334
ARCHER,39.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0
MAGE,121.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,15.0,0.0,NaN
