kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,20220.0,61.0,50.0,0.0,10.0,5.0,36.0,7642.7609999999995,7342.281,0.0,1.22
MEDIC,38809.0,266.0,264.0,0.0,29.0,14.0,170.0,19689.921000000002,33660.486999999994,34742.0,1.0075757575757576
PYRO,33009.0,413.0,303.0,1.0,96.0,0.0,6.0,20594.691999999992,22670.496999999996,0.0,1.363036303630363
ASSASSIN,203263.0,3735.0,4155.0,2.0,642.0,31.0,294.0,95823.15600000009,98967.54799999995,0.0,0.8989169675090253
CHEMIST,10783.0,82.0,69.0,0.0,14.0,0.0,0.0,6521.107999999999,5292.343000000002,0.0,1.1884057971014492
NINJA,32296.0,359.0,588.0,0.0,61.0,0.0,3.0,31972.063999999995,16146.949999999995,0.0,0.6105442176870748
MAGE,44474.0,365.0,391.0,1.0,23.0,10.0,110.0,34475.67900000001,22172.170000000006,0.0,0.9335038363171355
NECRO,14661.0,134.0,90.0,1.0,11.0,10.0,467.0,12138.831,12258.580000000002,753.0,1.488888888888889
ELF,33606.0,270.0,235.0,0.0,7.0,11.0,72.0,19019.920000000002,18145.864000000005,0.0,1.148936170212766
SOLDIER,6608.0,51.0,65.0,0.0,5.0,10.0,520.0,5472.1950000000015,6643.404,0.0,0.7846153846153846
ENGINEER,24371.0,382.0,131.0,0.0,18.0,0.0,205.0,24863.561,18366.867999999995,0.0,2.9160305343511452
ARCHER,15933.0,256.0,105.0,0.0,2.0,1.0,15.0,8726.483,7238.683000000002,0.0,2.4380952380952383
SCOUT,14027.0,126.0,212.0,0.0,17.0,4.0,6.0,9318.198,10329.394,0.0,0.5943396226415094
DWARF,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
