kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,162539.0,2318.0,1230.0,1.0,491.0,5.0,160.0,69890.20900000002,92205.31000000001,0.0,1.8845528455284553
HEAVY,116540.0,1082.0,657.0,5.0,94.0,67.0,1468.0,118120.08700000006,112841.46200000001,0.0,1.6468797564687976
NINJA,147814.0,1757.0,3874.0,5.0,179.0,31.0,772.0,188915.41799999998,109867.65300000005,0.0,0.4535363964894166
MAGE,25613.0,248.0,329.0,3.0,13.0,7.0,135.0,17472.962999999996,15664.578999999998,0.0,0.7537993920972644
ARCHER,22877.0,378.0,246.0,0.0,2.0,1.0,15.0,10989.569999999998,11631.677999999996,0.0,1.5365853658536586
SOLDIER,42757.0,343.0,558.0,5.0,25.0,113.0,1557.0,34572.79800000001,48765.91199999999,0.0,0.6146953405017921
NECRO,32440.0,614.0,466.0,2.0,8.0,48.0,656.0,35321.71800000001,49318.45699999999,0.0,1.3175965665236051
CHEMIST,7931.0,54.0,100.0,1.0,3.0,5.0,46.0,3671.1760000000004,5883.492,0.0,0.54
MEDIC,79208.0,613.0,961.0,4.0,41.0,92.0,1495.0,45205.68499999997,85099.83899999999,43418.0,0.6378772112382934
ASSASSIN,34447.0,491.0,826.0,2.0,89.0,15.0,159.0,15701.884000000002,20322.73,0.0,0.5944309927360775
ELF,4221.0,20.0,39.0,0.0,3.0,2.0,21.0,1485.0690000000002,2220.8260000000005,0.0,0.5128205128205128
ENGINEER,1175.0,4.0,7.0,0.0,0.0,0.0,0.0,440.824,398.22999999999996,0.0,0.5714285714285714
SCOUT,206.0,1.0,4.0,0.0,0.0,0.0,0.0,33.565,103.024,0.0,0.25
