kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,7218.0,49.0,100.0,2.0,5.0,21.0,986.0,4471.092000000001,6312.652000000001,0.0,0.49
ELF,2034.0,2.0,23.0,0.0,0.0,0.0,0.0,295.595,724.699,0.0,0.08695652173913043
MEDIC,5889.0,23.0,49.0,0.0,1.0,4.0,18.0,3176.276,4675.1449999999995,2204.0,0.46938775510204084
ARCHER,1576.0,12.0,21.0,0.0,0.0,0.0,0.0,759.769,722.1110000000001,0.0,0.5714285714285714
NINJA,38124.0,441.0,1044.0,20.0,50.0,76.0,1074.0,44086.13900000001,27866.490999999995,0.0,0.4224137931034483
HEAVY,6202.0,80.0,71.0,0.0,6.0,9.0,36.0,8966.979,8051.102000000001,0.0,1.1267605633802817
ENGINEER,1518.0,4.0,15.0,0.0,0.0,1.0,11.0,705.653,662.856,0.0,0.26666666666666666
ASSASSIN,987.0,15.0,19.0,0.0,1.0,0.0,0.0,350.009,372.611,0.0,0.7894736842105263
PYRO,870.0,12.0,10.0,0.0,2.0,1.0,4.0,391.65200000000004,325.9,0.0,1.2
MAGE,1038.0,7.0,4.0,0.0,0.0,0.0,0.0,490.348,286.05199999999996,0.0,1.75
CHEMIST,318.0,1.0,3.0,0.0,0.0,0.0,0.0,77.075,276.125,0.0,0.3333333333333333
DWARF,95.0,0.0,1.0,0.0,0.0,0.0,0.0,58.199,27.0,0.0,0.0
NECRO,73.0,1.0,1.0,0.0,0.0,0.0,0.0,59.059,102.849,0.0,1.0
SCOUT,2668.0,34.0,45.0,0.0,5.0,1.0,0.0,2503.009,1581.2130000000002,0.0,0.7555555555555555
