kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,51196.0,1250.0,788.0,12.0,25.0,135.0,8354.0,89932.32399999998,88864.401,0.0,1.5862944162436547
SOLDIER,87381.0,1436.0,1658.0,60.0,52.0,442.0,10767.0,84136.38699999999,129483.92199999996,0.0,0.8661037394451147
MEDIC,58365.0,1053.0,1065.0,4.0,21.0,101.0,1585.0,49141.647,95758.87700000001,45994.0,0.9887323943661972
NINJA,36374.0,594.0,1170.0,8.0,97.0,26.0,572.0,57531.566999999995,29945.664999999997,0.0,0.5076923076923077
NECRO,12383.0,444.0,238.0,0.0,9.0,11.0,90.0,20565.450999999997,23703.196,0.0,1.865546218487395
CHEMIST,9705.0,265.0,231.0,0.0,3.0,31.0,306.0,14614.485,15226.922999999999,0.0,1.147186147186147
ENGINEER,1965.0,35.0,5.0,0.0,2.0,0.0,0.0,2117.068,738.616,0.0,7.0
ELF,148.0,0.0,4.0,0.0,0.0,2.0,0.0,28.875,267.819,0.0,0.0
ASSASSIN,6546.0,94.0,198.0,0.0,15.0,1.0,6.0,2420.2180000000003,4407.656000000001,0.0,0.47474747474747475
PYRO,20209.0,414.0,231.0,0.0,89.0,1.0,13.0,17916.052,17183.163999999997,0.0,1.7922077922077921
ARCHER,632.0,10.0,11.0,0.0,0.0,0.0,0.0,385.649,589.84,0.0,0.9090909090909091
SCOUT,3272.0,63.0,71.0,0.0,2.0,0.0,0.0,4502.677,3099.07,0.0,0.8873239436619719
MAGE,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
