kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MAGE,79062.0,694.0,845.0,17.0,45.0,180.0,8726.0,62787.60500000001,60030.19000000002,0.0,0.821301775147929
CHEMIST,139396.0,2606.0,2313.0,65.0,47.0,607.0,15534.0,158471.87400000007,235911.7619999998,0.0,1.1266753134457415
MEDIC,109704.0,1479.0,1605.0,23.0,29.0,283.0,4919.0,60348.251000000004,165980.16399999993,38232.0,0.9214953271028037
PYRO,75350.0,1165.0,892.0,3.0,229.0,24.0,254.0,56994.942,67768.34300000001,0.0,1.3060538116591929
SOLDIER,55412.0,518.0,729.0,43.0,34.0,306.0,11437.0,34612.521,65304.78899999997,0.0,0.710562414266118
NINJA,130625.0,2066.0,4186.0,20.0,236.0,99.0,1934.0,198828.45399999997,106910.26200000003,0.0,0.493549928332537
HEAVY,92310.0,804.0,516.0,18.0,26.0,158.0,3236.0,60643.37100000001,61871.85699999998,0.0,1.558139534883721
ASSASSIN,13182.0,203.0,288.0,0.0,30.0,14.0,155.0,5606.338000000001,6553.928999999999,0.0,0.7048611111111112
NECRO,825.0,16.0,15.0,1.0,1.0,3.0,24.0,662.2639999999999,1060.414,0.0,1.0666666666666667
ELF,214995.0,1994.0,3520.0,158.0,26.0,1452.0,36329.0,94280.31199999992,269449.49799999996,0.0,0.5664772727272728
ENGINEER,1401.0,5.0,8.0,0.0,0.0,1.0,10.0,407.136,398.765,0.0,0.625
DWARF,1232.0,1.0,9.0,0.0,1.0,2.0,125.0,366.094,889.872,0.0,0.1111111111111111
ARCHER,48939.0,1301.0,660.0,2.0,4.0,9.0,204.0,33601.08699999999,36423.366,0.0,1.9712121212121212
FASHIONISTA,1268.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,72.55,0.0,0.0
SCOUT,7400.0,101.0,218.0,0.0,6.0,25.0,65.0,6137.647999999999,8229.179,0.0,0.463302752293578
