kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,91620.0,496.0,211.0,14.0,18.0,40.0,2054.0,34721.87999999999,27339.064,0.0,2.3507109004739335
SOLDIER,52500.0,609.0,545.0,51.0,39.0,169.0,10607.0,37232.488,46912.84899999999,0.0,1.1174311926605505
PYRO,72436.0,1393.0,643.0,5.0,204.0,7.0,127.0,62651.799,50812.21100000001,0.0,2.1664074650077763
ASSASSIN,137200.0,3387.0,3069.0,6.0,368.0,44.0,591.0,94797.80499999996,74634.76299999992,0.0,1.1036168132942326
ARCHER,203263.0,5307.0,1395.0,5.0,23.0,28.0,425.0,147352.66900000002,99713.62899999997,0.0,3.804301075268817
NINJA,109386.0,1747.0,3211.0,26.0,166.0,115.0,1204.0,152555.87899999993,87551.83600000001,0.0,0.544067268763625
ELF,35694.0,217.0,202.0,14.0,21.0,52.0,3165.0,13721.112,13685.409000000003,0.0,1.0742574257425743
MEDIC,112080.0,1337.0,982.0,28.0,83.0,149.0,3366.0,70574.74799999995,107108.10200000004,68303.0,1.3615071283095723
CHEMIST,34237.0,341.0,239.0,6.0,23.0,21.0,614.0,19202.93700000001,16416.70700000001,0.0,1.4267782426778242
ENGINEER,3280.0,24.0,19.0,2.0,1.0,4.0,101.0,2220.6150000000002,1294.832,0.0,1.263157894736842
MAGE,268552.0,3578.0,2363.0,27.0,139.0,169.0,3203.0,278483.1449999999,167476.0119999999,0.0,1.5141768937790945
FASHIONISTA,594.0,2.0,4.0,0.0,0.0,0.0,0.0,38.562,194.019,0.0,0.5
DWARF,1401.0,11.0,4.0,0.0,1.0,1.0,32.0,280.402,219.638,0.0,2.75
NECRO,3484.0,47.0,20.0,2.0,3.0,3.0,64.0,1788.2810000000002,1864.0880000000004,0.0,2.35
SCOUT,8348.0,59.0,86.0,3.0,4.0,4.0,54.0,2852.502,3361.8490000000006,0.0,0.686046511627907
