kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,124929.0,2906.0,1124.0,10.0,158.0,177.0,2751.0,256269.71199999997,176712.98600000015,0.0,2.5854092526690393
FASHIONISTA,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,NaN
MEDIC,35195.0,552.0,445.0,12.0,18.0,66.0,1465.0,25911.096000000005,48752.94699999999,24435.0,1.2404494382022473
SOLDIER,91826.0,1858.0,989.0,22.0,245.0,207.0,4718.0,181197.60399999993,128320.69900000004,0.0,1.878665318503539
ARCHER,215272.0,7460.0,2740.0,2.0,31.0,2.0,172.0,205479.34900000005,195349.75500000003,0.0,2.7226277372262775
CHEMIST,41279.0,989.0,762.0,22.0,8.0,251.0,5758.0,57934.685999999994,77680.541,0.0,1.2979002624671916
ELF,2054.0,10.0,27.0,1.0,0.0,13.0,216.0,459.84,2146.917,0.0,0.37037037037037035
NINJA,156103.0,3289.0,7124.0,5.0,538.0,42.0,345.0,416060.29099999985,183262.81600000008,0.0,0.46167883211678834
PYRO,8341.0,217.0,92.0,1.0,40.0,1.0,33.0,9611.725999999999,8777.401,0.0,2.358695652173913
MAGE,1731.0,18.0,24.0,0.0,0.0,1.0,20.0,1552.0900000000001,1371.259,0.0,0.75
SCOUT,11876.0,132.0,301.0,0.0,32.0,11.0,89.0,13992.230000000001,12602.288999999999,0.0,0.43853820598006643
ASSASSIN,26430.0,657.0,800.0,0.0,114.0,3.0,24.0,23364.710999999996,20052.757000000005,0.0,0.82125
ENGINEER,2257.0,32.0,34.0,0.0,1.0,0.0,0.0,2346.779,2355.092,0.0,0.9411764705882353
NECRO,798.0,31.0,15.0,0.0,0.0,0.0,0.0,1884.484,1557.622,0.0,2.066666666666667
