kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,18900.0,156.0,479.0,0.0,22.0,4.0,42.0,18456.96,11777.892,0.0,0.325678496868476
MAGE,1.088532e6,12409.0,10108.0,24.0,951.0,435.0,6659.0,1.050153043e6,717975.5819999997,0.0,1.2276414721013058
HEAVY,33454.0,68.0,58.0,1.0,7.0,3.0,163.0,6818.735999999999,6913.791000000001,0.0,1.1724137931034482
ENGINEER,5307.0,6.0,10.0,0.0,1.0,0.0,0.0,634.909,899.7940000000001,0.0,0.6
MEDIC,34887.0,164.0,107.0,1.0,32.0,0.0,5.0,14297.089,16689.065000000002,24799.0,1.5327102803738317
ELF,6281.0,30.0,36.0,0.0,4.0,3.0,367.0,1791.1889999999999,2471.143,0.0,0.8333333333333334
SOLDIER,3263.0,24.0,20.0,1.0,6.0,0.0,218.0,2888.4210000000003,2001.367,0.0,1.2
CHEMIST,1670.0,15.0,19.0,0.0,0.0,0.0,0.0,1392.363,1688.404,0.0,0.7894736842105263
PYRO,623.0,4.0,5.0,0.0,1.0,0.0,0.0,351.43,241.43,0.0,0.8
NECRO,1634.0,7.0,3.0,0.0,0.0,0.0,0.0,481.052,37.2,0.0,2.3333333333333335
ARCHER,514.0,5.0,2.0,0.0,0.0,1.0,53.0,131.75,101.619,0.0,2.5
DWARF,274.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,NaN
ASSASSIN,612.0,11.0,13.0,0.0,0.0,0.0,0.0,472.148,298.451,0.0,0.8461538461538461
FASHIONISTA,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,NaN
