kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,603949.0,679.0,360.0,12.0,55.0,54.0,1610.0,65417.859000000004,57644.80600000001,0.0,1.886111111111111
PYRO,12462.0,192.0,94.0,2.0,40.0,5.0,261.0,7857.282,8212.499999999998,0.0,2.0425531914893615
CHEMIST,7014.0,63.0,72.0,4.0,6.0,10.0,575.0,4664.891999999999,4243.008,0.0,0.875
ARCHER,289703.0,8597.0,3250.0,7.0,27.0,10.0,701.0,230772.47600000017,207482.63900000008,0.0,2.645230769230769
NINJA,18990.0,244.0,311.0,16.0,56.0,17.0,564.0,17951.267000000003,9843.748,0.0,0.7845659163987139
MEDIC,18694.0,92.0,62.0,10.0,18.0,16.0,1551.0,6920.330999999999,10190.643000000002,3624.0,1.4838709677419355
MAGE,6345.0,43.0,26.0,2.0,8.0,6.0,702.0,4705.5380000000005,2586.633,0.0,1.6538461538461537
ENGINEER,4825.0,22.0,10.0,0.0,1.0,1.0,43.0,2136.005,999.166,0.0,2.2
SOLDIER,30613.0,301.0,255.0,22.0,27.0,70.0,4868.0,24690.82,26752.711000000003,0.0,1.1803921568627451
ELF,7619.0,50.0,30.0,1.0,3.0,2.0,84.0,3521.2499999999995,2412.854,0.0,1.6666666666666667
DWARF,1329.0,10.0,5.0,0.0,0.0,1.0,36.0,279.807,311.673,0.0,2.0
ASSASSIN,2935.0,60.0,29.0,1.0,6.0,1.0,30.0,2261.577,840.5659999999999,0.0,2.0689655172413794
NECRO,2449.0,39.0,25.0,1.0,2.0,3.0,98.0,2313.147,2772.267,18.0,1.56
FASHIONISTA,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
