kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,19872.0,16.0,15.0,1.0,4.0,2.0,44.0,1362.426,1858.776,0.0,1.0666666666666667
ENGINEER,1850.0,1.0,3.0,0.0,0.0,0.0,0.0,309.78700000000003,264.968,0.0,0.3333333333333333
ASSASSIN,164817.0,4314.0,4405.0,3.0,493.0,8.0,70.0,123091.396,114510.72799999993,0.0,0.9793416572077185
SOLDIER,7078.0,76.0,99.0,1.0,1.0,11.0,116.0,7367.741000000001,7709.454000000001,0.0,0.7676767676767676
NINJA,13789.0,31.0,198.0,0.0,3.0,16.0,293.0,3572.6490000000003,5655.772999999999,0.0,0.15656565656565657
MAGE,12029.0,123.0,108.0,2.0,8.0,18.0,600.0,9316.232,7622.35,0.0,1.1388888888888888
PYRO,820.0,20.0,4.0,0.0,7.0,0.0,0.0,672.914,515.2339999999999,0.0,5.0
CHEMIST,11502.0,84.0,85.0,2.0,12.0,7.0,579.0,7179.651999999999,7134.996000000001,0.0,0.9882352941176471
MEDIC,4560.0,19.0,18.0,1.0,2.0,2.0,33.0,1493.0249999999999,2725.137,2185.0,1.0555555555555556
ARCHER,7996.0,203.0,93.0,0.0,1.0,1.0,39.0,5726.753999999999,6070.5199999999995,0.0,2.182795698924731
DWARF,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NECRO,7572.0,41.0,18.0,2.0,2.0,18.0,424.0,2047.0659999999998,1959.005,15.0,2.2777777777777777
ELF,725.0,3.0,11.0,0.0,0.0,1.0,7.0,336.654,653.3639999999999,0.0,0.2727272727272727
SCOUT,26925.0,250.0,528.0,4.0,35.0,8.0,135.0,24788.207999999995,23160.366,0.0,0.4734848484848485
