kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,33946.0,453.0,711.0,16.0,15.0,121.0,1893.0,29373.74499999999,47547.53099999999,0.0,0.6371308016877637
HEAVY,20149.0,260.0,261.0,2.0,23.0,60.0,1907.0,24486.555,29251.728000000003,0.0,0.9961685823754789
NINJA,5149.0,57.0,171.0,1.0,4.0,8.0,83.0,5896.161000000001,3934.9869999999996,0.0,0.3333333333333333
MEDIC,4113.0,23.0,47.0,0.0,1.0,5.0,35.0,2202.7960000000003,4739.146,888.0,0.48936170212765956
PYRO,2312.0,18.0,16.0,0.0,7.0,0.0,5.0,1130.806,956.81,0.0,1.125
ARCHER,9548.0,224.0,83.0,0.0,1.0,0.0,0.0,6201.304,5044.917999999999,0.0,2.6987951807228914
SOLDIER,23084.0,262.0,400.0,13.0,13.0,104.0,2786.0,18726.911,31932.970999999994,0.0,0.655
ASSASSIN,157.0,6.0,11.0,0.0,0.0,0.0,0.0,112.09899999999999,202.38,0.0,0.5454545454545454
DWARF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MAGE,1398.0,8.0,22.0,0.0,4.0,0.0,0.0,841.064,1134.684,0.0,0.36363636363636365
ELF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,47.0,0.0,1.0,0.0,0.0,0.0,0.0,37.11,36.6,0.0,0.0
