kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,22004.0,206.0,248.0,1.0,28.0,3.0,101.0,14443.693000000001,15053.994999999997,0.0,0.8306451612903226
MEDIC,30163.0,186.0,219.0,1.0,27.0,7.0,266.0,19876.987000000005,25941.049,19476.0,0.8493150684931506
NINJA,62908.0,882.0,1811.0,1.0,64.0,15.0,336.0,81512.01599999997,42925.437999999995,0.0,0.4870237437879624
HEAVY,55688.0,249.0,173.0,5.0,26.0,11.0,649.0,28124.845999999994,23470.879999999997,0.0,1.439306358381503
ASSASSIN,35318.0,739.0,952.0,0.0,64.0,5.0,66.0,22884.546,22169.680000000004,0.0,0.7762605042016807
PYRO,217377.0,3221.0,1974.0,3.0,610.0,6.0,250.0,161685.85300000006,147380.83,0.0,1.6317122593718338
ELF,4240.0,14.0,13.0,1.0,3.0,2.0,360.0,742.4209999999999,908.0569999999999,0.0,1.0769230769230769
SOLDIER,8102.0,83.0,124.0,0.0,9.0,6.0,53.0,10192.648000000001,9950.523,0.0,0.6693548387096774
MAGE,4225.0,14.0,39.0,1.0,3.0,3.0,177.0,1235.6650000000002,1998.8620000000003,0.0,0.358974358974359
ENGINEER,761.0,0.0,2.0,0.0,0.0,0.0,0.0,137.0,82.84100000000001,0.0,0.0
NECRO,1000.0,11.0,1.0,0.0,0.0,0.0,0.0,616.848,352.676,0.0,11.0
ARCHER,219.0,1.0,1.0,1.0,1.0,1.0,59.0,73.599,65.199,0.0,1.0
DWARF,1525.0,21.0,4.0,0.0,3.0,2.0,184.0,882.619,610.481,0.0,5.25
