kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,379668.0,8245.0,15632.0,25.0,851.0,473.0,3801.0,888265.9690000005,430739.80299999943,0.0,0.5274437052200615
ASSASSIN,46364.0,850.0,1074.0,2.0,110.0,22.0,360.0,22168.15,24863.933999999997,0.0,0.7914338919925512
CHEMIST,141705.0,3160.0,2183.0,77.0,42.0,588.0,14484.0,177215.22400000002,227307.51100000003,0.0,1.4475492441594136
HEAVY,84166.0,1569.0,737.0,27.0,27.0,224.0,9755.0,91151.01499999998,96146.20000000007,0.0,2.1289009497964724
SOLDIER,158766.0,1821.0,2155.0,127.0,34.0,882.0,35818.0,88082.55299999994,193637.39199999993,0.0,0.8450116009280743
MEDIC,99196.0,1105.0,1230.0,20.0,26.0,166.0,3314.0,52943.92500000001,128226.68799999998,37721.0,0.8983739837398373
NECRO,11475.0,181.0,106.0,2.0,9.0,18.0,1789.0,14160.457000000004,14345.758999999998,1286.0,1.7075471698113207
PYRO,166996.0,3930.0,1089.0,5.0,1020.0,22.0,257.0,181254.02199999994,142833.44800000006,0.0,3.608815426997245
ELF,46626.0,474.0,627.0,20.0,3.0,214.0,6048.0,20063.781,51093.03999999999,0.0,0.7559808612440191
MAGE,7099.0,52.0,68.0,2.0,4.0,11.0,392.0,4182.991,3783.8790000000004,0.0,0.7647058823529411
SCOUT,6946.0,55.0,145.0,0.0,4.0,19.0,410.0,4469.261999999999,5840.712,0.0,0.3793103448275862
ARCHER,32268.0,794.0,419.0,2.0,2.0,15.0,272.0,20107.431999999993,26029.171000000002,0.0,1.8949880668257757
ENGINEER,13866.0,333.0,233.0,2.0,9.0,40.0,651.0,16013.314999999999,18910.134,0.0,1.4291845493562232
FASHIONISTA,135.0,1.0,3.0,0.0,0.0,0.0,0.0,47.75,104.108,0.0,0.3333333333333333
DWARF,111.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,106.899,0.0,Inf
