kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,4705.0,53.0,45.0,0.0,4.0,5.0,10.0,9592.872,7622.743999999999,0.0,1.1777777777777778
CHEMIST,6801.0,66.0,125.0,0.0,0.0,24.0,348.0,5116.594,9026.349,0.0,0.528
MEDIC,8231.0,119.0,125.0,2.0,0.0,5.0,90.0,5213.107000000001,12274.603,5101.0,0.952
SOLDIER,2410.0,32.0,40.0,1.0,3.0,7.0,85.0,2702.558,3087.0629999999996,0.0,0.8
NINJA,106080.0,1844.0,4389.0,2.0,238.0,28.0,208.0,262605.99,116821.87700000001,0.0,0.4201412622465254
ASSASSIN,49393.0,1343.0,1367.0,1.0,126.0,10.0,85.0,39537.22200000001,33605.60500000001,0.0,0.9824433065106072
ELF,1430.0,6.0,26.0,1.0,0.0,7.0,90.0,517.3330000000001,1907.489,0.0,0.23076923076923078
ARCHER,3153.0,45.0,33.0,0.0,1.0,1.0,19.0,2514.0510000000004,2372.364,0.0,1.3636363636363635
SCOUT,7393.0,79.0,202.0,0.0,10.0,4.0,39.0,7823.533,7817.883999999999,0.0,0.3910891089108911
PYRO,580.0,12.0,6.0,0.0,7.0,0.0,0.0,457.191,575.46,0.0,2.0
