kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,97045.0,1434.0,979.0,21.0,53.0,243.0,5020.0,113012.9559999999,124601.80500000004,0.0,1.4647599591419815
SOLDIER,89966.0,1056.0,1390.0,33.0,64.0,484.0,7159.0,67579.07699999998,121786.15199999999,0.0,0.7597122302158273
CHEMIST,211090.0,3617.0,4036.0,85.0,49.0,1257.0,20178.0,192033.67200000014,387722.07300000003,0.0,0.8961843409316155
NINJA,97702.0,1371.0,2953.0,6.0,213.0,39.0,369.0,154623.131,78929.327,0.0,0.4642736200474094
ARCHER,36560.0,957.0,514.0,0.0,2.0,12.0,272.0,26773.895,34602.83199999999,0.0,1.8618677042801557
DWARF,650.0,6.0,3.0,1.0,0.0,0.0,67.0,395.952,448.879,0.0,2.0
PYRO,5784.0,82.0,63.0,0.0,15.0,3.0,57.0,4507.187,4599.531,0.0,1.3015873015873016
ELF,20136.0,228.0,383.0,12.0,8.0,94.0,1330.0,9845.498,24657.25700000001,0.0,0.5953002610966057
MEDIC,24463.0,293.0,327.0,3.0,9.0,47.0,914.0,11346.024000000001,33682.134,14219.0,0.8960244648318043
MAGE,1742.0,10.0,24.0,0.0,1.0,2.0,13.0,1331.702,1619.6999999999998,0.0,0.4166666666666667
ASSASSIN,53545.0,1504.0,1509.0,4.0,180.0,19.0,260.0,41946.02,38574.217,0.0,0.9966865473823724
NECRO,7582.0,111.0,110.0,0.0,7.0,9.0,102.0,9265.081,11116.663,0.0,1.009090909090909
ENGINEER,7749.0,109.0,103.0,0.0,9.0,9.0,32.0,8590.418,8450.697,0.0,1.058252427184466
FASHIONISTA,95.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,43.92,0.0,NaN
SCOUT,15094.0,170.0,368.0,2.0,15.0,32.0,212.0,11390.409999999998,14394.311999999998,0.0,0.46195652173913043
