kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,17496.0,180.0,197.0,5.0,0.0,36.0,672.0,8426.438,17366.030000000002,0.0,0.9137055837563451
ELF,720914.0,4881.0,15983.0,166.0,34.0,3473.0,42843.0,235239.848,1.0153314350000006e6,0.0,0.30538697365951323
MEDIC,51555.0,389.0,943.0,8.0,9.0,102.0,1686.0,15854.166000000001,70685.74299999999,26840.0,0.41251325556733826
SOLDIER,83565.0,619.0,1680.0,21.0,5.0,491.0,6866.0,31803.891999999996,120844.33899999996,0.0,0.368452380952381
PYRO,60293.0,459.0,740.0,0.0,199.0,4.0,45.0,28841.42,55553.864,0.0,0.6202702702702703
CHEMIST,3491.0,4.0,13.0,0.0,2.0,0.0,0.0,57.519000000000005,124.86,0.0,0.3076923076923077
ENGINEER,126191.0,1488.0,2326.0,20.0,21.0,424.0,3216.0,81228.81900000006,143088.91800000003,0.0,0.6397248495270851
SCOUT,160404.0,528.0,3025.0,15.0,151.0,152.0,1543.0,34399.72099999998,98409.36299999995,0.0,0.17454545454545456
NECRO,226105.0,2445.0,4377.0,27.0,25.0,818.0,9226.0,109533.09500000002,335445.1049999998,51.0,0.5586017820424949
NINJA,1117.0,3.0,26.0,0.0,0.0,4.0,24.0,415.497,681.25,0.0,0.11538461538461539
ASSASSIN,2979.0,30.0,82.0,0.0,12.0,4.0,30.0,1056.5629999999999,1869.2759999999998,0.0,0.36585365853658536
ARCHER,3341.0,46.0,67.0,0.0,0.0,2.0,18.0,1423.036,3458.513,0.0,0.6865671641791045
DWARF,363.0,4.0,4.0,0.0,0.0,0.0,0.0,9.9,259.51,0.0,1.0
FASHIONISTA,1567.0,3.0,36.0,1.0,1.0,8.0,171.0,451.627,1658.0040000000001,0.0,0.08333333333333333
MAGE,400.0,3.0,11.0,0.0,0.0,0.0,0.0,287.0,343.941,0.0,0.2727272727272727
