kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,147310.0,2265.0,5172.0,6.0,323.0,82.0,1353.0,260631.16799999998,136590.81600000005,0.0,0.43793503480278423
CHEMIST,78326.0,1199.0,1255.0,8.0,50.0,190.0,2652.0,85682.18200000004,104886.988,0.0,0.9553784860557769
MEDIC,40070.0,260.0,251.0,2.0,45.0,19.0,443.0,21020.279,30665.684,47302.0,1.0358565737051793
HEAVY,84268.0,709.0,410.0,8.0,46.0,81.0,4472.0,80053.60100000005,67313.34599999998,0.0,1.7292682926829268
SCOUT,214967.0,1899.0,4347.0,16.0,280.0,211.0,1530.0,153961.80200000003,180104.83000000005,0.0,0.43685300207039335
PYRO,14176.0,152.0,143.0,0.0,40.0,6.0,115.0,8083.338999999999,10884.567,0.0,1.062937062937063
ARCHER,282263.0,6921.0,3457.0,4.0,21.0,45.0,566.0,190060.8709999999,209093.32600000003,0.0,2.0020248770610354
MAGE,240641.0,1713.0,2611.0,5.0,114.0,81.0,2015.0,187340.88900000002,169082.328,0.0,0.656070471083876
ASSASSIN,6722.0,125.0,173.0,0.0,28.0,2.0,25.0,3633.289,4037.0700000000006,0.0,0.7225433526011561
ELF,13875.0,99.0,217.0,3.0,3.0,38.0,799.0,6019.4439999999995,14178.515,0.0,0.45622119815668205
NECRO,11798.0,196.0,121.0,2.0,11.0,7.0,137.0,12971.654000000002,15116.979000000001,106.0,1.6198347107438016
FASHIONISTA,834.0,3.0,12.0,0.0,0.0,1.0,24.0,403.827,752.4300000000001,0.0,0.25
SOLDIER,56752.0,549.0,767.0,7.0,54.0,153.0,2966.0,57872.60700000001,68674.98300000001,0.0,0.7157757496740548
DWARF,2430.0,3.0,9.0,0.0,0.0,1.0,41.0,377.223,663.889,0.0,0.3333333333333333
ENGINEER,13439.0,165.0,115.0,0.0,15.0,8.0,151.0,14242.039,11212.739999999998,0.0,1.434782608695652
