kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,23318.0,427.0,542.0,0.0,80.0,0.0,0.0,16928.577999999998,13760.789999999997,0.0,0.7878228782287823
MAGE,10971.0,118.0,92.0,1.0,15.0,5.0,158.0,10388.460000000003,6823.510000000001,0.0,1.2826086956521738
CHEMIST,58080.0,852.0,834.0,26.0,13.0,223.0,3232.0,46475.98700000002,69348.791,0.0,1.0215827338129497
NINJA,145935.0,2439.0,5126.0,8.0,376.0,98.0,636.0,298448.89200000005,156974.40500000003,0.0,0.4758095981271947
ELF,82541.0,977.0,1365.0,33.0,7.0,475.0,6778.0,43011.35700000003,106329.629,0.0,0.7157509157509158
PYRO,100948.0,1476.0,618.0,2.0,386.0,4.0,356.0,72538.92100000003,65141.89100000001,0.0,2.3883495145631066
MEDIC,11606.0,124.0,131.0,1.0,7.0,13.0,69.0,5657.371000000002,11229.091,5499.0,0.9465648854961832
SOLDIER,136043.0,1969.0,1339.0,31.0,291.0,315.0,6600.0,188450.9060000001,153055.79599999997,0.0,1.4705003734129947
HEAVY,73914.0,1019.0,537.0,8.0,91.0,68.0,1777.0,92475.07500000003,78650.83200000002,0.0,1.8975791433891993
ARCHER,5066.0,92.0,58.0,0.0,1.0,2.0,20.0,2405.855,3153.7239999999997,0.0,1.5862068965517242
DWARF,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,NaN
SCOUT,5087.0,63.0,101.0,0.0,5.0,2.0,17.0,4645.732,4151.852999999999,0.0,0.6237623762376238
NECRO,1185.0,9.0,14.0,0.0,0.0,0.0,0.0,851.887,996.484,0.0,0.6428571428571429
ENGINEER,282.0,3.0,2.0,0.0,0.0,1.0,162.0,156.179,98.75,0.0,1.5
