kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,81266.0,1371.0,447.0,8.0,47.0,64.0,3037.0,116554.288,85840.45299999996,0.0,3.0671140939597317
MEDIC,461769.0,6539.0,4595.0,50.0,176.0,139.0,6778.0,278767.8480000001,535920.5009999999,399041.0,1.423068552774755
SOLDIER,134009.0,2495.0,1367.0,46.0,122.0,345.0,10710.0,189661.406,171402.03399999999,0.0,1.8251645940014631
CHEMIST,10383.0,107.0,82.0,1.0,6.0,3.0,312.0,5853.744999999998,3930.468,0.0,1.3048780487804879
NINJA,74533.0,1473.0,2349.0,4.0,147.0,25.0,925.0,143918.426,67594.298,0.0,0.6270753512132823
ARCHER,1150.0,12.0,14.0,0.0,0.0,0.0,0.0,589.33,699.6679999999999,0.0,0.8571428571428571
ASSASSIN,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ELF,632.0,7.0,6.0,0.0,0.0,4.0,291.0,209.736,457.462,0.0,1.1666666666666667
PYRO,4474.0,70.0,42.0,0.0,20.0,0.0,0.0,3504.2769999999996,3239.085,0.0,1.6666666666666667
ENGINEER,222.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0
MAGE,5113.0,31.0,40.0,5.0,3.0,11.0,1115.0,2467.75,2750.822,0.0,0.775
SCOUT,674.0,8.0,7.0,0.0,1.0,0.0,0.0,779.24,535.784,0.0,1.1428571428571428
