kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,2633.0,23.0,35.0,0.0,8.0,0.0,0.0,1647.183,1798.6979999999999,0.0,0.6571428571428571
NINJA,4612.0,61.0,93.0,0.0,14.0,0.0,0.0,4843.715,2767.548,0.0,0.6559139784946236
ENGINEER,136.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0
SCOUT,1133.0,3.0,18.0,0.0,2.0,1.0,11.0,573.8720000000001,544.724,0.0,0.16666666666666666
MAGE,2204.0,16.0,25.0,0.0,1.0,1.0,3.0,1776.0610000000001,1620.9099999999999,0.0,0.64
SOLDIER,6893.0,81.0,109.0,2.0,0.0,41.0,618.0,3518.576,8915.708,0.0,0.7431192660550459
CHEMIST,1048.0,17.0,20.0,0.0,0.0,3.0,45.0,1069.277,1613.9669999999999,0.0,0.85
MEDIC,46404.0,550.0,686.0,2.0,25.0,33.0,625.0,26345.109999999993,59776.97800000001,27874.0,0.8017492711370262
NECRO,4312.0,101.0,43.0,0.0,5.0,2.0,24.0,4772.8240000000005,5967.664,0.0,2.3488372093023258
FASHIONISTA,134.0,0.0,2.0,1.0,0.0,0.0,9.0,21.0,52.893,0.0,0.0
ELF,1878.0,27.0,35.0,1.0,0.0,14.0,132.0,1029.367,2459.829,0.0,0.7714285714285715
HEAVY,1692.0,29.0,24.0,0.0,2.0,2.0,0.0,3103.115,2706.447,0.0,1.2083333333333333
ASSASSIN,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ARCHER,1898.0,48.0,15.0,0.0,0.0,0.0,0.0,1216.326,1208.745,0.0,3.2
