kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,2633.0,23.0,35.0,0.0,8.0,0.0,0.0,1647.183,1798.6979999999999,0.0,0.6571428571428571
NINJA,8812.0,113.0,232.0,0.0,19.0,1.0,2.0,10613.63,6369.496999999999,0.0,0.4870689655172414
ENGINEER,1877.0,21.0,26.0,0.0,0.0,2.0,13.0,1359.6100000000001,1963.9099999999999,0.0,0.8076923076923077
SCOUT,6090.0,56.0,120.0,0.0,2.0,7.0,41.0,4124.645,4531.066999999999,0.0,0.4666666666666667
MAGE,4232.0,43.0,60.0,0.0,2.0,2.0,5.0,3878.492,3435.274,0.0,0.7166666666666667
SOLDIER,38935.0,520.0,674.0,14.0,11.0,214.0,4601.0,23897.126000000004,57511.29300000001,0.0,0.771513353115727
CHEMIST,66499.0,1327.0,1378.0,18.0,9.0,245.0,3334.0,61421.583000000006,116459.43299999998,0.0,0.9629898403483309
MEDIC,65757.0,910.0,1034.0,3.0,26.0,50.0,1070.0,37376.06099999999,90611.66100000001,37397.0,0.8800773694390716
NECRO,14679.0,340.0,193.0,2.0,6.0,13.0,99.0,15015.537000000004,23125.090999999997,0.0,1.761658031088083
FASHIONISTA,651.0,1.0,5.0,1.0,0.0,0.0,9.0,69.0,142.591,0.0,0.2
ELF,7546.0,95.0,143.0,1.0,1.0,34.0,287.0,4042.21,10666.885,0.0,0.6643356643356644
HEAVY,6306.0,108.0,94.0,0.0,3.0,6.0,37.0,8161.709,10687.616,0.0,1.148936170212766
ASSASSIN,5171.0,125.0,140.0,0.0,9.0,0.0,0.0,4141.418,3634.099,0.0,0.8928571428571429
ARCHER,14760.0,300.0,212.0,0.0,1.0,1.0,1.0,8196.64,10954.652999999998,0.0,1.4150943396226414
DWARF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
