kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,53563.0,514.0,532.0,5.0,51.0,40.0,1361.0,29981.951000000005,58993.28100000003,23376.0,0.9661654135338346
ENGINEER,8389.0,67.0,98.0,2.0,5.0,15.0,853.0,7024.526,8917.485,0.0,0.6836734693877551
HEAVY,38921.0,563.0,555.0,4.0,25.0,106.0,950.0,48177.558999999994,67115.97799999999,0.0,1.0144144144144145
FASHIONISTA,1456.0,3.0,21.0,0.0,0.0,5.0,14.0,521.939,1066.136,0.0,0.14285714285714285
NINJA,26043.0,375.0,954.0,1.0,64.0,9.0,130.0,43712.151,24343.66799999999,0.0,0.39308176100628933
SOLDIER,111396.0,944.0,2021.0,43.0,43.0,715.0,10796.0,67752.21800000001,171688.334,0.0,0.46709549727857497
CHEMIST,8037.0,47.0,133.0,4.0,0.0,46.0,786.0,4072.34,12886.369999999999,0.0,0.3533834586466165
ARCHER,5996.0,118.0,69.0,0.0,0.0,2.0,88.0,3720.431,4199.938999999999,0.0,1.710144927536232
ELF,14647.0,129.0,263.0,3.0,0.0,64.0,1401.0,6409.9310000000005,22860.889,0.0,0.49049429657794674
NECRO,6432.0,115.0,125.0,5.0,2.0,28.0,476.0,6052.1759999999995,11648.315999999999,0.0,0.92
MAGE,2753.0,19.0,28.0,0.0,2.0,3.0,54.0,1590.1979999999999,1883.396,0.0,0.6785714285714286
DWARF,355.0,8.0,1.0,0.0,1.0,0.0,0.0,296.292,175.81,0.0,8.0
PYRO,24892.0,293.0,156.0,0.0,92.0,3.0,11.0,14221.403999999995,16086.462000000001,0.0,1.8782051282051282
SCOUT,31226.0,294.0,758.0,1.0,43.0,38.0,196.0,28983.565999999995,31545.819,0.0,0.38786279683377306
