kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
DWARF,1423.0,12.0,6.0,0.0,0.0,2.0,300.0,1210.979,883.4079999999999,0.0,2.0
NINJA,172329.0,2551.0,7484.0,12.0,460.0,113.0,562.0,342845.5319999998,195928.02999999997,0.0,0.34086050240513094
HEAVY,134047.0,2008.0,1578.0,22.0,118.0,223.0,5416.0,209018.85799999995,215787.66399999987,0.0,1.2724968314321927
MEDIC,205017.0,2167.0,2900.0,23.0,132.0,303.0,4681.0,113991.34699999998,258324.51900000006,189101.0,0.7472413793103448
CHEMIST,91273.0,1425.0,2105.0,29.0,35.0,528.0,6867.0,84266.328,153113.32100000003,0.0,0.6769596199524941
NECRO,78187.0,1428.0,1152.0,12.0,17.0,164.0,2645.0,73304.51200000003,109879.81600000002,111.0,1.2395833333333333
SCOUT,27222.0,306.0,684.0,0.0,43.0,14.0,56.0,23796.71900000001,25194.19699999999,0.0,0.4473684210526316
FASHIONISTA,1092.0,4.0,4.0,1.0,0.0,3.0,132.0,130.539,143.2,0.0,1.0
SOLDIER,208906.0,2406.0,2854.0,65.0,337.0,583.0,11793.0,274270.13400000025,293441.34900000016,0.0,0.8430273300630694
ASSASSIN,24455.0,698.0,890.0,4.0,92.0,21.0,346.0,23481.758,21486.316,0.0,0.7842696629213484
MAGE,4039.0,44.0,52.0,1.0,4.0,2.0,33.0,4835.571000000001,3597.162,0.0,0.8461538461538461
PYRO,13496.0,212.0,152.0,0.0,50.0,0.0,12.0,10518.143,13045.021,0.0,1.394736842105263
ELF,3220.0,28.0,79.0,1.0,0.0,19.0,110.0,1203.932,5142.216,0.0,0.35443037974683544
ENGINEER,5028.0,57.0,62.0,0.0,4.0,9.0,291.0,4410.456999999999,5015.141999999999,0.0,0.9193548387096774
ARCHER,2553.0,46.0,41.0,0.0,0.0,1.0,8.0,1429.5,1887.4990000000003,0.0,1.1219512195121952
