kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ELF,169952.0,2471.0,3322.0,81.0,9.0,924.0,19738.0,120755.39199999996,267726.01599999995,0.0,0.7438290186634557
PYRO,218805.0,5064.0,1802.0,5.0,1256.0,10.0,181.0,225458.994,190609.26099999977,0.0,2.8102108768035516
NINJA,32071.0,555.0,1065.0,0.0,75.0,23.0,159.0,53737.503000000004,29739.307,0.0,0.5211267605633803
SOLDIER,14694.0,265.0,289.0,3.0,6.0,59.0,689.0,15212.072999999999,22955.964999999993,0.0,0.916955017301038
SCOUT,23117.0,317.0,617.0,0.0,21.0,58.0,223.0,19682.781000000003,23061.58199999999,0.0,0.513776337115073
CHEMIST,16263.0,405.0,348.0,2.0,6.0,44.0,1206.0,26066.594999999998,32287.548,0.0,1.1637931034482758
MEDIC,12796.0,134.0,137.0,0.0,18.0,12.0,90.0,8449.563,13955.708,12188.0,0.9781021897810219
HEAVY,18728.0,655.0,326.0,4.0,12.0,38.0,1038.0,40023.638,42971.69199999998,0.0,2.0092024539877302
MAGE,9270.0,120.0,121.0,1.0,7.0,3.0,29.0,10495.421,7679.129999999999,0.0,0.9917355371900827
ENGINEER,4992.0,88.0,61.0,0.0,5.0,2.0,21.0,5353.2,4718.416,0.0,1.4426229508196722
ARCHER,13451.0,375.0,196.0,0.0,1.0,1.0,25.0,11491.210999999998,11293.109999999999,0.0,1.913265306122449
NECRO,3880.0,116.0,55.0,1.0,3.0,1.0,152.0,5575.135,6748.612999999999,0.0,2.109090909090909
ASSASSIN,7705.0,182.0,251.0,0.0,30.0,1.0,0.0,5311.373,6152.139000000001,0.0,0.7250996015936255
FASHIONISTA,3944.0,1.0,7.0,0.0,0.0,1.0,0.0,232.264,388.009,0.0,0.14285714285714285
DWARF,697.0,5.0,1.0,0.0,0.0,0.0,0.0,170.588,173.63899999999998,0.0,5.0
