kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,135780.0,3814.0,1113.0,0.0,12.0,2.0,56.0,90932.92000000003,81459.62700000002,0.0,3.426774483378257
HEAVY,14216.0,128.0,74.0,0.0,15.0,3.0,81.0,17196.817000000003,14635.69,0.0,1.7297297297297298
SOLDIER,1612.0,13.0,3.0,4.0,0.0,6.0,668.0,257.899,807.9889999999999,0.0,4.333333333333333
PYRO,403.0,4.0,2.0,0.0,0.0,0.0,0.0,315.071,313.805,0.0,2.0
MEDIC,4852.0,7.0,15.0,0.0,5.0,0.0,0.0,2027.1499999999999,2633.118,3653.0,0.4666666666666667
DWARF,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
MAGE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
CHEMIST,2139.0,9.0,6.0,0.0,0.0,0.0,0.0,1740.87,1515.4119999999998,0.0,1.5
NECRO,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,2467.0,26.0,20.0,0.0,2.0,1.0,233.0,2034.8200000000002,1941.287,0.0,1.3
ELF,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ASSASSIN,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NINJA,9609.0,47.0,124.0,0.0,10.0,0.0,0.0,6844.484000000001,3170.899,0.0,0.3790322580645161
SCOUT,219.0,2.0,5.0,0.0,0.0,0.0,0.0,231.658,145.031,0.0,0.4
