kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,63412.0,968.0,1785.0,2.0,192.0,41.0,320.0,102155.11399999999,52230.810000000005,0.0,0.542296918767507
MEDIC,38586.0,580.0,521.0,5.0,9.0,24.0,1031.0,23859.533999999996,53850.04999999998,27164.0,1.1132437619961613
SOLDIER,23685.0,322.0,355.0,11.0,11.0,132.0,2319.0,19334.596999999998,31366.963000000003,0.0,0.9070422535211268
HEAVY,61776.0,1167.0,888.0,23.0,27.0,187.0,4441.0,93150.93200000004,116281.287,0.0,1.3141891891891893
ASSASSIN,3700.0,70.0,62.0,1.0,8.0,4.0,40.0,1942.0300000000002,1549.4329999999998,0.0,1.1290322580645162
CHEMIST,67939.0,1154.0,1077.0,38.0,18.0,256.0,5173.0,76396.919,116306.19599999998,0.0,1.0714948932219128
ARCHER,5505.0,98.0,49.0,0.0,0.0,0.0,0.0,3091.585,3153.45,0.0,2.0
PYRO,43732.0,656.0,327.0,0.0,187.0,1.0,44.0,32345.612000000005,32863.979,0.0,2.00611620795107
ELF,300469.0,3755.0,5201.0,248.0,26.0,1736.0,38982.0,160745.19100000002,480540.3709999999,0.0,0.7219765429725052
MAGE,976.0,21.0,7.0,0.0,0.0,1.0,9.0,524.261,561.5699999999999,0.0,3.0
NECRO,18291.0,313.0,223.0,3.0,14.0,42.0,791.0,19106.017999999996,25586.020999999997,8.0,1.4035874439461884
SCOUT,2160.0,20.0,58.0,0.0,2.0,2.0,6.0,1315.9300000000003,2281.1380000000004,0.0,0.3448275862068966
ENGINEER,213.0,7.0,4.0,0.0,0.0,0.0,0.0,331.757,375.404,0.0,1.75
DWARF,287.0,2.0,4.0,1.0,0.0,0.0,79.0,34.75,276.719,0.0,0.5
