kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,3682.0,31.0,46.0,1.0,1.0,2.0,221.0,1524.518,3228.732,0.0,0.6739130434782609
MAGE,288.0,0.0,3.0,0.0,0.0,0.0,0.0,63.0,139.347,0.0,0.0
NECRO,375.0,1.0,4.0,0.0,0.0,0.0,0.0,83.879,236.381,0.0,0.25
NINJA,8421.0,58.0,175.0,2.0,17.0,18.0,431.0,6970.459,4789.498,0.0,0.3314285714285714
HEAVY,16748.0,126.0,124.0,0.0,5.0,6.0,47.0,12404.304,17137.289,0.0,1.0161290322580645
ELF,6807.0,34.0,53.0,0.0,4.0,4.0,157.0,3254.7580000000007,4207.1320000000005,0.0,0.6415094339622641
DWARF,349.0,0.0,2.0,0.0,0.0,0.0,0.0,43.08,97.999,0.0,0.0
PYRO,390.0,2.0,6.0,0.0,0.0,0.0,0.0,166.049,182.059,0.0,0.3333333333333333
ENGINEER,231.0,1.0,3.0,0.0,0.0,0.0,0.0,105.4,85.26,0.0,0.3333333333333333
ASSASSIN,67169.0,1044.0,1340.0,6.0,143.0,17.0,350.0,29120.530999999984,30659.499,0.0,0.7791044776119403
MEDIC,360528.0,1760.0,2655.0,23.0,173.0,77.0,3066.0,116232.25999999998,290450.1190000001,358038.0,0.6629001883239172
CHEMIST,2300.0,4.0,10.0,0.0,0.0,0.0,0.0,87.75,259.49899999999997,0.0,0.4
ARCHER,10444.0,146.0,119.0,1.0,1.0,4.0,100.0,4929.938999999999,6053.025,0.0,1.226890756302521
SCOUT,2805.0,18.0,61.0,0.0,0.0,5.0,61.0,598.386,2153.8149999999996,0.0,0.29508196721311475
