kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,73152.0,1740.0,2763.0,8.0,171.0,81.0,373.0,171650.361,78625.84500000003,0.0,0.6297502714440825
HEAVY,10977.0,375.0,155.0,1.0,20.0,25.0,521.0,26050.643,20524.250000000004,0.0,2.4193548387096775
CHEMIST,238969.0,6986.0,4321.0,124.0,84.0,1315.0,24590.0,378612.8629999998,502794.918,0.0,1.6167553806989123
SOLDIER,10359.0,169.0,191.0,6.0,2.0,91.0,1078.0,9908.803,16484.687,0.0,0.8848167539267016
ELF,125651.0,2031.0,2270.0,83.0,8.0,928.0,11900.0,74563.06999999995,184069.41200000007,0.0,0.8947136563876652
MAGE,2036.0,28.0,29.0,0.0,0.0,2.0,22.0,2429.839,1997.945,0.0,0.9655172413793104
SCOUT,7569.0,107.0,185.0,0.0,2.0,13.0,60.0,6637.509999999999,7102.364000000001,0.0,0.5783783783783784
MEDIC,9060.0,113.0,71.0,0.0,9.0,6.0,121.0,6749.865999999999,8527.589,10936.0,1.591549295774648
ENGINEER,2921.0,73.0,39.0,0.0,2.0,5.0,78.0,3683.703,3445.655,0.0,1.8717948717948718
ASSASSIN,931.0,21.0,12.0,0.0,2.0,0.0,0.0,489.95700000000005,331.80899999999997,0.0,1.75
PYRO,7237.0,157.0,87.0,0.0,19.0,0.0,0.0,6982.372,6501.543999999999,0.0,1.8045977011494252
ARCHER,5647.0,185.0,62.0,0.0,1.0,1.0,28.0,4940.4619999999995,4056.0519999999997,0.0,2.9838709677419355
NECRO,625.0,15.0,10.0,1.0,1.0,1.0,129.0,814.956,1135.949,0.0,1.5
