kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,264155.0,10152.0,3521.0,1.0,11.0,5.0,213.0,244474.88300000015,233720.1959999999,0.0,2.88327179778472
NINJA,20457.0,350.0,850.0,0.0,42.0,4.0,71.0,42065.883,21114.308999999997,0.0,0.4117647058823529
HEAVY,30882.0,639.0,368.0,5.0,53.0,18.0,786.0,61665.30499999999,56973.90399999999,0.0,1.736413043478261
MEDIC,4648.0,52.0,45.0,0.0,11.0,2.0,15.0,2957.7609999999995,5170.173,4789.0,1.1555555555555554
SOLDIER,25583.0,371.0,314.0,9.0,39.0,63.0,2365.0,33020.962,35162.164000000004,0.0,1.1815286624203822
CHEMIST,4514.0,64.0,96.0,1.0,1.0,16.0,97.0,3674.6900000000005,6834.920999999999,0.0,0.6666666666666666
ELF,939.0,11.0,17.0,0.0,0.0,3.0,14.0,580.268,907.4749999999999,0.0,0.6470588235294118
MAGE,325.0,1.0,6.0,0.0,0.0,0.0,0.0,59.0,168.012,0.0,0.16666666666666666
SCOUT,342.0,0.0,7.0,0.0,0.0,0.0,0.0,61.75,110.272,0.0,0.0
NECRO,3280.0,83.0,47.0,0.0,1.0,2.0,7.0,4062.0719999999997,4194.043000000001,0.0,1.7659574468085106
FASHIONISTA,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
DWARF,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0
ASSASSIN,123.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,3.0,0.0,Inf
