kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,28047.0,403.0,214.0,1.0,101.0,2.0,13.0,20264.805,19466.982999999997,0.0,1.8831775700934579
ASSASSIN,174594.0,4129.0,4364.0,0.0,380.0,2.0,9.0,142526.89,109281.23100000001,0.0,0.9461503208065994
NINJA,83598.0,1172.0,2052.0,1.0,130.0,8.0,574.0,112444.311,53606.491000000016,0.0,0.571150097465887
HEAVY,13613.0,159.0,90.0,2.0,9.0,19.0,342.0,15180.049000000003,12821.904999999999,0.0,1.7666666666666666
SOLDIER,32849.0,275.0,390.0,14.0,34.0,130.0,2657.0,23597.356999999993,31867.677,0.0,0.7051282051282052
CHEMIST,14061.0,150.0,204.0,3.0,8.0,34.0,438.0,12829.585999999996,15529.805,0.0,0.7352941176470589
ARCHER,6784.0,195.0,61.0,0.0,1.0,0.0,2.0,5394.451,4204.621000000001,0.0,3.19672131147541
ELF,392.0,1.0,3.0,0.0,0.0,0.0,0.0,39.02,80.0,0.0,0.3333333333333333
MAGE,2520.0,8.0,5.0,0.0,1.0,0.0,0.0,431.04200000000003,472.61699999999996,0.0,1.6
SCOUT,6773.0,83.0,173.0,1.0,8.0,1.0,20.0,8400.713000000002,7304.625,0.0,0.4797687861271676
MEDIC,916.0,5.0,17.0,0.0,1.0,1.0,0.0,560.227,1275.386,457.0,0.29411764705882354
ENGINEER,355.0,1.0,3.0,0.0,0.0,0.0,0.0,556.544,268.071,0.0,0.3333333333333333
NECRO,922.0,1.0,5.0,0.0,0.0,0.0,2.0,609.4590000000001,556.716,0.0,0.2
