kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,157141.0,2928.0,5972.0,11.0,394.0,49.0,472.0,321670.96400000015,156786.04399999994,0.0,0.4902880107166778
HEAVY,52357.0,881.0,454.0,9.0,36.0,85.0,1811.0,76190.99399999998,61680.54899999999,0.0,1.9405286343612336
CHEMIST,53345.0,943.0,713.0,18.0,26.0,130.0,2868.0,64198.836999999985,70198.35799999996,0.0,1.3225806451612903
ARCHER,4402.0,136.0,70.0,0.0,0.0,1.0,9.0,4742.602,5244.2660000000005,0.0,1.9428571428571428
SOLDIER,38251.0,685.0,482.0,13.0,41.0,100.0,3466.0,51247.73500000001,47580.926,0.0,1.4211618257261411
PYRO,227281.0,4818.0,1818.0,6.0,874.0,16.0,267.0,205948.52600000004,179059.67699999994,0.0,2.65016501650165
MAGE,6786.0,77.0,53.0,1.0,4.0,5.0,296.0,5775.072999999999,4837.924,0.0,1.4528301886792452
ASSASSIN,13220.0,316.0,349.0,0.0,22.0,3.0,15.0,9050.754,8506.158,0.0,0.9054441260744985
MEDIC,17360.0,231.0,304.0,3.0,24.0,57.0,746.0,15046.882000000005,30241.410000000007,8312.0,0.7598684210526315
ENGINEER,432.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0
ELF,5592.0,70.0,74.0,2.0,3.0,15.0,920.0,4556.8,6610.672999999999,0.0,0.9459459459459459
DWARF,557.0,4.0,2.0,0.0,0.0,0.0,0.0,459.423,287.37300000000005,0.0,2.0
NECRO,2494.0,66.0,32.0,1.0,3.0,6.0,332.0,2965.122,3703.9020000000005,0.0,2.0625
SCOUT,5082.0,59.0,130.0,0.0,5.0,2.0,75.0,6118.504999999999,5624.6979999999985,0.0,0.45384615384615384
