kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,55528.0,1028.0,526.0,8.0,72.0,39.0,701.0,95807.38699999996,80775.213,0.0,1.9543726235741445
MEDIC,6426.0,31.0,30.0,1.0,6.0,5.0,453.0,3080.509,3742.4220000000005,2533.0,1.0333333333333334
SOLDIER,28132.0,334.0,240.0,0.0,71.0,15.0,114.0,43086.208,31783.245,0.0,1.3916666666666666
CHEMIST,39728.0,725.0,586.0,15.0,31.0,114.0,3534.0,54153.199,65747.244,0.0,1.2372013651877134
NINJA,20781.0,327.0,554.0,1.0,65.0,4.0,59.0,33306.119999999995,15903.347,0.0,0.5902527075812274
ELF,1171.0,7.0,7.0,1.0,0.0,1.0,109.0,547.3789999999999,486.149,0.0,1.0
DWARF,205.0,1.0,0.0,0.0,0.0,0.0,0.0,23.5,38.0,0.0,Inf
ASSASSIN,7117.0,162.0,155.0,0.0,23.0,2.0,53.0,4177.424000000001,3763.1779999999994,0.0,1.0451612903225806
PYRO,1182.0,9.0,7.0,0.0,0.0,0.0,7.0,675.476,640.078,0.0,1.2857142857142858
ARCHER,52.0,1.0,0.0,0.0,0.0,0.0,0.0,12.011,0.0,0.0,Inf
MAGE,1862.0,5.0,13.0,0.0,2.0,1.0,2.0,1063.741,963.1400000000001,0.0,0.38461538461538464
SCOUT,5574.0,67.0,85.0,0.0,11.0,3.0,21.0,4244.822999999999,3664.185,0.0,0.788235294117647
NECRO,4182.0,73.0,42.0,0.0,5.0,0.0,0.0,5658.529,5198.5869999999995,0.0,1.7380952380952381
