kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,339139.0,4714.0,5627.0,184.0,167.0,2396.0,51961.0,281717.00899999996,538049.187999999,0.0,0.8377465789941354
NINJA,214672.0,3490.0,7370.0,40.0,297.0,715.0,4050.0,387294.11700000014,233356.5860000003,0.0,0.4735413839891452
HEAVY,135071.0,2887.0,1872.0,38.0,68.0,511.0,9174.0,210304.64100000012,244001.24700000003,0.0,1.5422008547008548
PYRO,226992.0,4689.0,2007.0,3.0,915.0,8.0,111.0,212501.62399999998,215709.6129999998,0.0,2.336322869955157
CHEMIST,181777.0,4226.0,3567.0,69.0,75.0,925.0,15012.0,232371.25799999986,334498.4299999997,0.0,1.184749088870199
ENGINEER,2655.0,36.0,42.0,0.0,2.0,12.0,128.0,2412.5240000000003,3238.184,0.0,0.8571428571428571
MEDIC,134889.0,2642.0,2149.0,18.0,20.0,298.0,3581.0,103807.23,231684.02599999998,64025.0,1.22940902745463
ASSASSIN,19616.0,682.0,655.0,0.0,58.0,11.0,79.0,22094.834000000003,16527.482999999997,0.0,1.0412213740458016
SCOUT,45627.0,460.0,991.0,0.0,37.0,66.0,333.0,31402.04099999999,39434.762999999984,0.0,0.46417759838546924
ELF,275671.0,4826.0,5309.0,176.0,28.0,1977.0,30430.0,191736.71999999997,482173.9820000001,0.0,0.9090224147673761
ARCHER,74363.0,2369.0,947.0,2.0,5.0,12.0,136.0,64912.522000000026,64211.11099999998,0.0,2.501583949313622
NECRO,8170.0,245.0,111.0,2.0,0.0,10.0,495.0,11315.680999999999,13727.417000000003,0.0,2.2072072072072073
MAGE,12875.0,148.0,164.0,0.0,3.0,21.0,811.0,11447.75,8878.582,0.0,0.9024390243902439
