kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,85467.0,1253.0,857.0,19.0,45.0,233.0,4578.0,93003.25099999995,105168.99000000002,0.0,1.4620770128354725
SOLDIER,70731.0,816.0,1067.0,20.0,58.0,384.0,4716.0,52434.75500000001,92016.28399999999,0.0,0.7647610121836926
CHEMIST,150285.0,2302.0,2770.0,71.0,29.0,941.0,15215.0,123675.55500000004,261406.68800000005,0.0,0.8310469314079423
NINJA,71419.0,924.0,1989.0,4.0,157.0,32.0,275.0,101033.55600000001,52565.93600000001,0.0,0.4645550527903469
ARCHER,22207.0,516.0,290.0,0.0,2.0,9.0,258.0,14571.124,19499.18,0.0,1.7793103448275862
DWARF,650.0,6.0,3.0,1.0,0.0,0.0,67.0,395.952,448.879,0.0,2.0
PYRO,5784.0,82.0,63.0,0.0,15.0,3.0,57.0,4507.187,4599.531,0.0,1.3015873015873016
ELF,10591.0,83.0,214.0,7.0,6.0,42.0,751.0,4528.5520000000015,11023.725,0.0,0.3878504672897196
MEDIC,23777.0,283.0,319.0,3.0,9.0,46.0,911.0,11033.960000000001,32892.613,14003.0,0.8871473354231975
MAGE,1742.0,10.0,24.0,0.0,1.0,2.0,13.0,1331.702,1619.6999999999998,0.0,0.4166666666666667
ASSASSIN,33963.0,965.0,929.0,1.0,125.0,13.0,206.0,26527.247,24115.196000000004,0.0,1.038751345532831
NECRO,7493.0,110.0,108.0,0.0,7.0,8.0,101.0,9144.582,10891.207,0.0,1.0185185185185186
ENGINEER,4943.0,77.0,64.0,0.0,6.0,3.0,8.0,5466.814,5037.638,0.0,1.203125
FASHIONISTA,95.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,43.92,0.0,NaN
SCOUT,10117.0,121.0,249.0,1.0,9.0,27.0,180.0,8138.453,9650.94,0.0,0.4859437751004016
