kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,134152.0,1928.0,4623.0,7.0,449.0,15.0,331.0,47894.736,104906.308,0.0,0.41704520873891415
MEDIC,17313.0,71.0,187.0,0.0,16.0,3.0,27.0,6520.218,12579.339999999998,21582.0,0.37967914438502676
HEAVY,3519.0,13.0,20.0,0.0,1.0,1.0,7.0,1322.6580000000001,2278.41,0.0,0.65
ARCHER,1805.0,38.0,11.0,0.0,0.0,0.0,0.0,901.149,414.828,0.0,3.4545454545454546
NINJA,6748.0,74.0,233.0,10.0,6.0,15.0,305.0,6189.548,5459.1990000000005,0.0,0.31759656652360513
ELF,279.0,1.0,0.0,3.0,1.0,3.0,146.0,20.0,6.0,0.0,Inf
ENGINEER,16872.0,137.0,252.0,0.0,15.0,13.0,274.0,11462.161,14089.782000000001,0.0,0.5436507936507936
PYRO,6884.0,52.0,62.0,0.0,16.0,1.0,15.0,3169.1500000000005,4338.285,0.0,0.8387096774193549
SOLDIER,4098.0,35.0,55.0,0.0,10.0,1.0,4.0,3350.406,5683.274,0.0,0.6363636363636364
SCOUT,1775.0,11.0,34.0,0.0,2.0,2.0,3.0,687.903,1179.066,0.0,0.3235294117647059
CHEMIST,328.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,39.6,0.0,0.0
NECRO,18089.0,145.0,164.0,0.0,29.0,4.0,195.0,11859.205000000002,19274.683000000005,0.0,0.8841463414634146
