kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,24237.0,420.0,360.0,5.0,7.0,75.0,1097.0,31201.622999999992,38728.04800000002,0.0,1.1666666666666667
CHEMIST,393984.0,10853.0,8142.0,187.0,64.0,1888.0,36169.0,577453.6700000002,882015.6360000002,0.0,1.3329648734954556
NINJA,62475.0,1118.0,2341.0,12.0,86.0,123.0,852.0,114725.58900000002,66325.46100000001,0.0,0.4775736864587783
ASSASSIN,7297.0,201.0,190.0,0.0,24.0,6.0,74.0,6251.865,4675.181,0.0,1.0578947368421052
MEDIC,88773.0,1820.0,1618.0,15.0,6.0,154.0,2790.0,67627.191,172391.16099999993,55714.0,1.1248454882571075
SOLDIER,66811.0,824.0,1214.0,40.0,45.0,444.0,5597.0,62918.697000000015,104860.42799999999,0.0,0.6787479406919276
PYRO,25979.0,561.0,221.0,0.0,116.0,4.0,50.0,24299.22600000001,23931.932,0.0,2.5384615384615383
NECRO,3436.0,75.0,59.0,1.0,0.0,7.0,160.0,4468.264,6095.418999999999,0.0,1.271186440677966
ARCHER,893.0,13.0,18.0,0.0,0.0,2.0,117.0,706.849,1278.5390000000002,0.0,0.7222222222222222
ENGINEER,3322.0,38.0,43.0,1.0,1.0,5.0,155.0,2574.867,3101.873,0.0,0.8837209302325582
ELF,5563.0,60.0,101.0,0.0,1.0,21.0,194.0,2065.118,7334.083000000001,0.0,0.594059405940594
MAGE,3769.0,33.0,46.0,1.0,4.0,2.0,101.0,2984.873,2730.1890000000003,0.0,0.717391304347826
SCOUT,12141.0,104.0,338.0,0.0,7.0,4.0,8.0,11676.215,14227.983999999997,0.0,0.3076923076923077
