kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,634492.0,8972.0,6209.0,57.0,278.0,171.0,7691.0,375333.4050000004,732777.774,657272.0,1.4449991947173457
CHEMIST,20259.0,251.0,184.0,1.0,15.0,5.0,363.0,13872.966000000004,11723.782000000001,0.0,1.3641304347826086
NINJA,96810.0,1869.0,3125.0,5.0,181.0,31.0,938.0,185777.62200000003,88386.46899999998,0.0,0.59808
HEAVY,105512.0,1926.0,664.0,12.0,67.0,97.0,4535.0,165838.71299999993,121148.18300000002,0.0,2.9006024096385543
SOLDIER,188595.0,3377.0,1990.0,63.0,162.0,514.0,14488.0,256202.4130000001,239687.3350000001,0.0,1.6969849246231157
MAGE,11214.0,112.0,104.0,5.0,3.0,12.0,1133.0,7844.130000000001,6457.850999999999,0.0,1.0769230769230769
ELF,632.0,7.0,6.0,0.0,0.0,4.0,291.0,209.736,457.462,0.0,1.1666666666666667
SCOUT,9474.0,135.0,190.0,0.0,13.0,4.0,10.0,10858.987000000001,9068.265,0.0,0.7105263157894737
ARCHER,1150.0,12.0,14.0,0.0,0.0,0.0,0.0,589.33,699.6679999999999,0.0,0.8571428571428571
PYRO,5672.0,107.0,55.0,0.0,29.0,0.0,0.0,5061.029,4671.775000000001,0.0,1.9454545454545455
ASSASSIN,2071.0,54.0,62.0,3.0,5.0,3.0,118.0,2045.081,1547.1699999999998,0.0,0.8709677419354839
DWARF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,222.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0
NECRO,42.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Inf
