kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,2633.0,23.0,35.0,0.0,8.0,0.0,0.0,1647.183,1798.6979999999999,0.0,0.6571428571428571
NINJA,7563.0,108.0,186.0,0.0,19.0,0.0,0.0,9231.740999999998,5284.746999999999,0.0,0.5806451612903226
ENGINEER,277.0,4.0,2.0,0.0,0.0,0.0,0.0,280.009,144.147,0.0,2.0
SCOUT,2774.0,15.0,51.0,0.0,2.0,2.0,23.0,1151.7520000000002,1781.1290000000004,0.0,0.29411764705882354
MAGE,2227.0,16.0,25.0,0.0,1.0,1.0,3.0,1800.0610000000001,1620.9099999999999,0.0,0.64
SOLDIER,14699.0,175.0,245.0,4.0,1.0,88.0,1262.0,6409.764999999999,19120.163,0.0,0.7142857142857143
CHEMIST,12546.0,289.0,237.0,5.0,1.0,43.0,931.0,12503.376000000002,20795.703999999998,0.0,1.219409282700422
MEDIC,54947.0,747.0,830.0,2.0,26.0,42.0,774.0,31312.348999999995,72775.39700000003,31964.0,0.9
NECRO,7479.0,193.0,100.0,1.0,5.0,4.0,61.0,8411.349,11749.882,0.0,1.93
FASHIONISTA,242.0,0.0,4.0,1.0,0.0,0.0,9.0,54.0,132.292,0.0,0.0
ELF,5582.0,71.0,97.0,1.0,1.0,29.0,267.0,3284.312,7366.239,0.0,0.7319587628865979
HEAVY,2885.0,44.0,40.0,0.0,2.0,4.0,27.0,3920.245,4532.166,0.0,1.1
ASSASSIN,172.0,1.0,2.0,0.0,0.0,0.0,0.0,41.0,63.149,0.0,0.5
ARCHER,8627.0,175.0,116.0,0.0,0.0,0.0,0.0,4630.618,5970.383,0.0,1.5086206896551724
