kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,2.108378e6,25613.0,24526.0,191.0,523.0,1131.0,39552.0,977052.8169999997,2.6598183430000003e6,1.66941e6,1.044320313137079
CHEMIST,12948.0,61.0,74.0,1.0,3.0,1.0,8.0,2646.367,2328.8739999999993,0.0,0.8243243243243243
HEAVY,85036.0,67.0,31.0,0.0,5.0,7.0,21.0,4023.288,4246.215999999999,0.0,2.161290322580645
PYRO,36242.0,671.0,245.0,1.0,124.0,1.0,46.0,20863.039999999994,23161.316,0.0,2.7387755102040816
SOLDIER,18686.0,113.0,146.0,11.0,12.0,55.0,2600.0,6515.155,12241.480000000001,0.0,0.773972602739726
ASSASSIN,3005.0,56.0,66.0,0.0,10.0,0.0,7.0,1367.331,1481.6160000000002,0.0,0.8484848484848485
NINJA,11996.0,67.0,209.0,0.0,17.0,16.0,262.0,7009.769999999999,6039.196,0.0,0.32057416267942584
ELF,2994.0,16.0,12.0,1.0,8.0,1.0,45.0,702.4079999999999,593.298,0.0,1.3333333333333333
ARCHER,563.0,13.0,5.0,0.0,0.0,0.0,0.0,341.18399999999997,215.11,0.0,2.6
FASHIONISTA,1954.0,0.0,2.0,0.0,0.0,1.0,2.0,26.0,122.289,0.0,0.0
MAGE,183.0,3.0,2.0,0.0,0.0,0.0,0.0,176.976,109.303,0.0,1.5
ENGINEER,416.0,2.0,4.0,0.0,0.0,0.0,0.0,162.389,246.469,0.0,0.5
NECRO,815.0,25.0,12.0,0.0,0.0,0.0,0.0,886.675,1564.0700000000002,0.0,2.0833333333333335
SCOUT,119.0,3.0,4.0,0.0,0.0,0.0,0.0,35.5,94.328,0.0,0.75
DWARF,220.0,2.0,1.0,0.0,0.0,0.0,0.0,223.216,357.493,0.0,2.0
