kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,59645.0,990.0,521.0,5.0,53.0,42.0,1161.0,95627.12699999998,90441.40900000001,0.0,1.9001919385796544
NECRO,65439.0,1716.0,919.0,12.0,24.0,108.0,2661.0,84382.89399999999,117717.76499999996,100.0,1.867247007616975
MEDIC,49294.0,675.0,596.0,1.0,26.0,15.0,242.0,29273.224,69564.299,36844.0,1.1325503355704698
NINJA,58202.0,1044.0,2533.0,9.0,143.0,31.0,325.0,132126.102,70366.39599999998,0.0,0.41215949467035135
ASSASSIN,12433.0,311.0,369.0,0.0,42.0,1.0,43.0,11962.135,9284.874000000002,0.0,0.8428184281842819
MAGE,18885.0,201.0,205.0,0.0,15.0,8.0,201.0,22023.079000000005,12668.376,0.0,0.9804878048780488
ARCHER,90021.0,2352.0,984.0,0.0,8.0,2.0,99.0,69991.025,70001.04399999997,0.0,2.3902439024390243
SOLDIER,29827.0,364.0,395.0,9.0,62.0,84.0,1740.0,37642.65600000001,46089.71999999999,0.0,0.9215189873417722
CHEMIST,7476.0,67.0,87.0,0.0,10.0,4.0,44.0,6599.8070000000025,8224.541000000001,0.0,0.7701149425287356
SCOUT,9929.0,87.0,216.0,1.0,11.0,3.0,63.0,9691.874999999998,9731.949999999997,0.0,0.4027777777777778
PYRO,65764.0,1054.0,504.0,0.0,250.0,1.0,1.0,58728.36499999998,58048.328,0.0,2.0912698412698414
ENGINEER,1499.0,10.0,12.0,0.0,0.0,0.0,12.0,526.934,790.434,0.0,0.8333333333333334
ELF,5347.0,81.0,103.0,2.0,2.0,19.0,631.0,3580.511,8489.949999999999,0.0,0.7864077669902912
FASHIONISTA,1315.0,1.0,1.0,0.0,0.0,1.0,80.0,30.099,91.27600000000001,0.0,1.0
