kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,8537.0,203.0,122.0,2.0,2.0,32.0,351.0,10136.635000000002,16578.765000000003,0.0,1.6639344262295082
NINJA,21862.0,449.0,573.0,3.0,14.0,28.0,201.0,27002.611000000004,18322.041000000005,0.0,0.7835951134380453
MEDIC,25404.0,395.0,412.0,3.0,6.0,20.0,594.0,15142.709000000003,41872.03900000001,12755.0,0.9587378640776699
ASSASSIN,2294.0,64.0,69.0,0.0,2.0,0.0,0.0,1484.4790000000003,1576.042,0.0,0.927536231884058
MAGE,790.0,1.0,6.0,0.0,0.0,0.0,0.0,68.8,433.693,0.0,0.16666666666666666
ENGINEER,2150.0,38.0,22.0,1.0,0.0,11.0,345.0,1650.667,1825.193,0.0,1.7272727272727273
ELF,541.0,2.0,4.0,1.0,0.0,1.0,30.0,50.5,232.23000000000002,0.0,0.5
ARCHER,295.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,Inf
PYRO,2241.0,40.0,28.0,0.0,2.0,0.0,0.0,1712.0900000000001,1999.98,0.0,1.4285714285714286
CHEMIST,553.0,6.0,10.0,0.0,0.0,2.0,37.0,252.49099999999999,422.303,0.0,0.6
SOLDIER,59973.0,723.0,975.0,40.0,8.0,367.0,9184.0,35462.371,88493.232,0.0,0.7415384615384616
SCOUT,113.0,0.0,2.0,0.0,0.0,0.0,0.0,15.5,82.219,0.0,0.0
