kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,22027.0,403.0,738.0,1.0,86.0,4.0,25.0,43157.314,20600.211,0.0,0.5460704607046071
SOLDIER,5388.0,112.0,37.0,0.0,18.0,0.0,0.0,10779.588,5922.939,0.0,3.027027027027027
ASSASSIN,1084.0,36.0,25.0,0.0,7.0,0.0,0.0,835.751,623.751,0.0,1.44
CHEMIST,3922.0,84.0,53.0,0.0,6.0,10.0,358.0,6470.026,6534.4619999999995,0.0,1.5849056603773586
HEAVY,5350.0,106.0,37.0,0.0,8.0,3.0,31.0,11962.315,6839.423,0.0,2.864864864864865
FASHIONISTA,634.0,1.0,2.0,0.0,0.0,0.0,0.0,72.0,174.049,0.0,0.5
NECRO,1105.0,15.0,12.0,0.0,0.0,0.0,0.0,1447.1789999999999,1279.2189999999998,0.0,1.25
MEDIC,1263.0,9.0,22.0,0.0,0.0,2.0,17.0,395.988,1600.3020000000001,578.0,0.4090909090909091
ARCHER,220.0,2.0,3.0,0.0,0.0,0.0,0.0,66.0,58.479,0.0,0.6666666666666666
ELF,534.0,3.0,2.0,1.0,2.0,2.0,161.0,180.367,770.708,0.0,1.5
ENGINEER,775.0,1.0,3.0,0.0,0.0,0.0,0.0,187.2,313.635,0.0,0.3333333333333333
SCOUT,1991.0,16.0,45.0,0.0,1.0,1.0,4.0,1672.211,1734.9610000000002,0.0,0.35555555555555557
PYRO,14789.0,389.0,84.0,0.0,110.0,1.0,1.0,15357.350999999999,12163.768999999998,0.0,4.630952380952381
