kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,95330.0,1650.0,491.0,4.0,165.0,41.0,2500.0,189687.00800000003,106526.38900000002,0.0,3.360488798370672
ARCHER,125379.0,3837.0,1363.0,0.0,5.0,1.0,67.0,104757.55799999995,81593.332,0.0,2.815113719735877
NINJA,659865.0,13811.0,26092.0,6.0,1848.0,8.0,111.0,1.6782811589999998e6,701855.7219999994,0.0,0.5293193315958915
MAGE,8350.0,95.0,103.0,0.0,4.0,1.0,9.0,9432.135,6564.856999999999,0.0,0.9223300970873787
ELF,2122.0,11.0,17.0,0.0,2.0,0.0,0.0,1114.407,815.692,0.0,0.6470588235294118
PYRO,8370.0,163.0,122.0,0.0,31.0,0.0,13.0,8040.3060000000005,7365.439000000001,0.0,1.3360655737704918
ASSASSIN,22921.0,453.0,583.0,0.0,78.0,1.0,2.0,13214.565,12749.395999999999,0.0,0.7770154373927959
MEDIC,36323.0,723.0,570.0,4.0,9.0,30.0,602.0,27986.605,53662.772,18820.0,1.268421052631579
NECRO,4573.0,111.0,55.0,0.0,0.0,3.0,21.0,9842.987000000003,6603.6990000000005,357.0,2.018181818181818
ENGINEER,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SOLDIER,28011.0,433.0,244.0,5.0,89.0,17.0,805.0,51597.03299999998,27320.855,0.0,1.7745901639344261
CHEMIST,79565.0,2002.0,1774.0,23.0,31.0,394.0,6011.0,135110.36100000003,161018.12299999996,0.0,1.1285231116121759
SCOUT,5619.0,63.0,148.0,0.0,5.0,1.0,0.0,5107.823000000001,5338.611,0.0,0.42567567567567566
FASHIONISTA,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,0.0,Inf
DWARF,195.0,4.0,1.0,0.0,0.0,0.0,0.0,433.802,341.018,0.0,4.0
