kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,32491.0,859.0,1087.0,0.0,89.0,0.0,0.0,27156.433999999997,25713.77,0.0,0.7902483900643974
HEAVY,19847.0,194.0,108.0,0.0,15.0,10.0,415.0,33550.91300000001,22444.566000000003,0.0,1.7962962962962963
MEDIC,32311.0,330.0,354.0,0.0,16.0,26.0,246.0,21098.875,36557.185000000005,26262.0,0.9322033898305084
NINJA,79981.0,1199.0,3209.0,1.0,191.0,14.0,87.0,177528.11400000003,80749.36500000002,0.0,0.37363664693050797
SOLDIER,34173.0,425.0,447.0,3.0,44.0,84.0,1143.0,45289.326,44415.61700000001,0.0,0.9507829977628636
MAGE,2691.0,19.0,27.0,0.0,3.0,1.0,61.0,2689.6310000000003,1673.131,0.0,0.7037037037037037
ENGINEER,19471.0,284.0,237.0,0.0,15.0,5.0,24.0,33010.782999999996,24037.779,0.0,1.1983122362869199
SCOUT,29861.0,219.0,636.0,0.0,47.0,7.0,13.0,26987.263,26319.034000000003,0.0,0.3443396226415094
ARCHER,6186.0,119.0,98.0,0.0,0.0,0.0,0.0,3617.695,5958.9439999999995,0.0,1.2142857142857142
NECRO,3185.0,44.0,43.0,0.0,2.0,2.0,3.0,4887.362,5192.081,0.0,1.0232558139534884
PYRO,8574.0,127.0,91.0,0.0,29.0,0.0,0.0,7258.262,7239.718,0.0,1.3956043956043955
ELF,5515.0,63.0,99.0,1.0,0.0,19.0,145.0,4877.557,7744.512000000001,0.0,0.6363636363636364
CHEMIST,1592.0,11.0,11.0,0.0,1.0,1.0,0.0,740.686,526.504,0.0,1.0
DWARF,524.0,24.0,20.0,2.0,4.0,6.0,60.0,1913.17,2065.44,0.0,1.2
