kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,245384.0,5701.0,3231.0,1.0,17.0,7.0,305.0,156366.46300000008,195134.06200000003,0.0,1.7644692045806252
ASSASSIN,68960.0,1575.0,2022.0,1.0,201.0,2.0,13.0,46529.278999999995,49827.96900000001,0.0,0.7789317507418397
CHEMIST,43523.0,641.0,521.0,5.0,21.0,52.0,1583.0,38925.81600000003,47251.465,0.0,1.2303262955854126
PYRO,24709.0,332.0,231.0,0.0,71.0,1.0,0.0,16639.589,19848.228000000003,0.0,1.4372294372294372
SOLDIER,132493.0,1676.0,1955.0,42.0,66.0,422.0,10000.0,121330.63100000005,187254.12699999995,0.0,0.8572890025575448
MEDIC,200188.0,1689.0,1806.0,15.0,139.0,54.0,1657.0,94869.25000000009,195273.609,239299.0,0.9352159468438538
SCOUT,126172.0,991.0,2655.0,1.0,169.0,18.0,63.0,104911.147,113861.541,0.0,0.37325800376647833
ENGINEER,37078.0,532.0,263.0,0.0,32.0,6.0,42.0,38956.545,33067.906,0.0,2.0228136882129277
MAGE,82875.0,570.0,926.0,1.0,30.0,6.0,146.0,75661.16100000002,54892.435000000005,0.0,0.6155507559395248
HEAVY,64265.0,1115.0,750.0,6.0,30.0,68.0,2716.0,90382.31499999997,105870.24100000002,0.0,1.4866666666666666
NINJA,44220.0,512.0,1648.0,2.0,61.0,10.0,114.0,70936.64399999999,43387.208,0.0,0.3106796116504854
NECRO,46080.0,1010.0,642.0,5.0,9.0,30.0,1384.0,49743.51899999999,69105.37800000001,13.0,1.573208722741433
ELF,12427.0,153.0,207.0,2.0,3.0,25.0,302.0,7809.573,15340.818999999998,0.0,0.7391304347826086
DWARF,1715.0,13.0,3.0,0.0,0.0,0.0,0.0,657.976,555.4879999999999,0.0,4.333333333333333
