kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,108386.0,350.0,439.0,13.0,15.0,183.0,3792.0,26750.26000000001,46104.72000000002,0.0,0.7972665148063781
SOLDIER,545484.0,2583.0,7928.0,448.0,51.0,3867.0,99837.0,160605.18000000008,643538.616,0.0,0.32580726538849647
CHEMIST,48648.0,428.0,790.0,31.0,9.0,231.0,4582.0,24010.69600000002,57232.892,0.0,0.5417721518987342
ASSASSIN,207457.0,4125.0,5798.0,4.0,392.0,178.0,1158.0,102575.68499999998,131656.05600000004,0.0,0.7114522249051397
ELF,156316.0,962.0,2247.0,91.0,15.0,866.0,15362.0,48509.49199999997,172277.49500000008,0.0,0.4281263907432132
ARCHER,7085.0,126.0,102.0,0.0,0.0,6.0,67.0,3155.0560000000005,5953.933,0.0,1.2352941176470589
PYRO,15299.0,137.0,190.0,0.0,20.0,1.0,4.0,7814.58,12610.194,0.0,0.7210526315789474
NINJA,182895.0,1390.0,5191.0,52.0,92.0,809.0,5664.0,161385.61600000004,152307.92099999997,0.0,0.26777114236178
NECRO,7005.0,63.0,88.0,2.0,3.0,24.0,547.0,2758.872,8744.486,0.0,0.7159090909090909
ENGINEER,12415.0,117.0,148.0,7.0,1.0,58.0,647.0,4781.34,10496.798999999999,0.0,0.7905405405405406
MEDIC,63595.0,466.0,843.0,23.0,11.0,217.0,3513.0,20600.532999999996,81391.355,13336.0,0.5527876631079478
MAGE,2615.0,5.0,13.0,0.0,0.0,2.0,5.0,1061.7330000000002,939.605,0.0,0.38461538461538464
DWARF,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,NaN
FASHIONISTA,717.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,94.199,0.0,0.3333333333333333
SCOUT,23107.0,133.0,487.0,2.0,8.0,74.0,428.0,8562.928000000002,17977.214999999997,0.0,0.2731006160164271
