kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,32540.0,615.0,216.0,0.0,57.0,6.0,312.0,65661.426,45123.174,0.0,2.8472222222222223
CHEMIST,5227.0,90.0,102.0,1.0,2.0,25.0,290.0,5100.255999999999,8131.426,0.0,0.8823529411764706
NINJA,340876.0,6310.0,14656.0,2.0,863.0,29.0,255.0,825481.6949999998,384020.2539999999,0.0,0.43054039301310043
SOLDIER,24279.0,409.0,259.0,1.0,42.0,23.0,164.0,39814.66300000001,31071.048999999988,0.0,1.579150579150579
ASSASSIN,16615.0,372.0,388.0,0.0,63.0,2.0,2.0,10937.619999999999,10094.275999999998,0.0,0.9587628865979382
NECRO,3458.0,52.0,62.0,0.0,1.0,4.0,13.0,4690.039000000001,5940.862999999999,0.0,0.8387096774193549
ARCHER,8211.0,235.0,71.0,0.0,0.0,1.0,2.0,5787.768999999999,4665.017999999999,0.0,3.3098591549295775
SCOUT,3456.0,26.0,56.0,0.0,8.0,2.0,1.0,1662.9009999999998,2134.143,0.0,0.4642857142857143
MEDIC,7626.0,112.0,63.0,2.0,5.0,2.0,138.0,4257.196,6813.993,6358.0,1.7777777777777777
PYRO,1881.0,29.0,19.0,1.0,11.0,0.0,0.0,1700.717,1689.38,0.0,1.5263157894736843
MAGE,1074.0,6.0,7.0,0.0,2.0,0.0,98.0,781.648,796.5820000000001,0.0,0.8571428571428571
ENGINEER,178.0,2.0,2.0,0.0,0.0,1.0,6.0,179.988,122.458,0.0,1.0
DWARF,515.0,11.0,2.0,0.0,1.0,0.0,0.0,309.586,309.779,0.0,5.5
ELF,589.0,11.0,13.0,0.0,0.0,2.0,16.0,402.899,1151.4550000000002,0.0,0.8461538461538461
FASHIONISTA,50.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,26.729,0.0,0.0
