kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,36130.0,532.0,289.0,5.0,20.0,48.0,988.0,44966.838,41862.986999999994,0.0,1.8408304498269896
CHEMIST,38332.0,583.0,633.0,14.0,18.0,137.0,3244.0,36441.568,45847.001,0.0,0.9210110584518167
NINJA,23804.0,266.0,471.0,4.0,46.0,17.0,718.0,21546.181999999993,13513.306999999997,0.0,0.564755838641189
SOLDIER,56385.0,780.0,955.0,35.0,32.0,290.0,4690.0,51003.964,77575.06999999998,0.0,0.8167539267015707
ASSASSIN,26075.0,598.0,566.0,3.0,125.0,8.0,79.0,13467.096,14239.927,0.0,1.0565371024734982
MEDIC,16622.0,171.0,193.0,5.0,4.0,49.0,1716.0,13760.880999999998,20180.482,3490.0,0.8860103626943006
ELF,7338.0,59.0,59.0,5.0,2.0,20.0,484.0,2603.485,3324.906,0.0,1.0
NECRO,2759.0,5.0,15.0,1.0,0.0,4.0,339.0,894.2120000000001,1398.938,157.0,0.3333333333333333
PYRO,320778.0,5691.0,3306.0,13.0,1187.0,95.0,1822.0,265489.083,252782.18500000003,0.0,1.721415607985481
MAGE,6020.0,71.0,82.0,2.0,9.0,11.0,412.0,4530.686000000001,5203.796,0.0,0.8658536585365854
ARCHER,9663.0,201.0,122.0,0.0,2.0,2.0,72.0,5554.214,4944.264999999999,0.0,1.6475409836065573
ENGINEER,775.0,2.0,5.0,0.0,2.0,3.0,49.0,479.015,559.681,0.0,0.4
DWARF,567.0,2.0,2.0,0.0,0.0,2.0,36.0,29.15,110.799,0.0,1.0
FASHIONISTA,215.0,0.0,1.0,0.0,0.0,0.0,0.0,45.281,81.487,0.0,0.0
SCOUT,4754.0,43.0,95.0,1.0,3.0,7.0,49.0,2815.969,3155.369,0.0,0.45263157894736844
