kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,196618.0,2399.0,1453.0,25.0,204.0,198.0,6413.0,216256.3090000001,180591.91599999994,0.0,1.6510667584308327
NINJA,480102.0,7142.0,16272.0,7.0,1314.0,75.0,1126.0,873353.8509999996,414038.80999999994,0.0,0.438913470993117
DWARF,8048.0,59.0,41.0,3.0,7.0,12.0,803.0,4370.635,4077.337,0.0,1.4390243902439024
ENGINEER,24004.0,156.0,99.0,3.0,10.0,8.0,643.0,9447.965,6107.632,0.0,1.5757575757575757
ARCHER,147620.0,3317.0,1234.0,1.0,20.0,23.0,338.0,98630.52399999999,75260.36,0.0,2.6880064829821717
NECRO,11908.0,97.0,65.0,0.0,2.0,3.0,68.0,5437.993,6377.367,309.0,1.4923076923076923
PYRO,438771.0,8901.0,3124.0,3.0,1965.0,27.0,811.0,371116.0170000001,312036.806,0.0,2.8492317541613317
ELF,60696.0,486.0,515.0,8.0,25.0,69.0,1616.0,33421.575000000004,37558.775,0.0,0.9436893203883495
ASSASSIN,17960.0,390.0,380.0,2.0,52.0,5.0,147.0,9911.285,9046.371000000001,0.0,1.0263157894736843
SOLDIER,122742.0,1438.0,1262.0,43.0,152.0,250.0,9525.0,127822.11799999997,123206.246,0.0,1.13946117274168
MEDIC,54927.0,943.0,737.0,10.0,19.0,41.0,1521.0,39546.271,71997.643,30045.0,1.2795115332428766
CHEMIST,220638.0,3844.0,2630.0,45.0,176.0,417.0,8912.0,270175.2749999999,271757.616,0.0,1.4615969581749049
MAGE,239322.0,1782.0,1553.0,6.0,114.0,84.0,3036.0,184333.85899999997,104294.44999999994,0.0,1.1474565357372826
FASHIONISTA,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,2103.0,32.0,47.0,0.0,4.0,9.0,30.0,1194.233,1564.363,0.0,0.6808510638297872
