kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ASSASSIN,103724.0,1917.0,1763.0,2.0,446.0,16.0,178.0,50524.95099999999,45213.48,0.0,1.0873511060692003
HEAVY,43408.0,425.0,304.0,12.0,29.0,65.0,1834.0,37405.591,37559.922999999995,0.0,1.3980263157894737
MAGE,17277.0,99.0,111.0,2.0,6.0,14.0,721.0,7394.942,8090.274999999999,0.0,0.8918918918918919
SOLDIER,37231.0,320.0,358.0,8.0,55.0,115.0,2920.0,29298.78400000001,31360.814000000002,0.0,0.8938547486033519
NINJA,25666.0,180.0,440.0,3.0,71.0,13.0,351.0,22968.35099999999,14369.476999999999,0.0,0.4090909090909091
CHEMIST,53388.0,710.0,604.0,15.0,54.0,109.0,1721.0,45327.452999999994,57225.14699999998,0.0,1.1754966887417218
MEDIC,80556.0,508.0,495.0,13.0,83.0,89.0,2547.0,46423.25300000001,62069.25000000001,35255.0,1.0262626262626262
PYRO,62390.0,888.0,577.0,1.0,202.0,0.0,48.0,37695.215000000004,41604.26900000001,0.0,1.5389948006932408
ARCHER,4640.0,91.0,39.0,0.0,0.0,2.0,44.0,2656.6549999999997,1807.641,0.0,2.3333333333333335
ENGINEER,1023.0,20.0,12.0,0.0,0.0,2.0,17.0,1063.827,1054.743,0.0,1.6666666666666667
ELF,4453.0,8.0,10.0,2.0,1.0,4.0,173.0,250.71800000000002,673.488,0.0,0.8
DWARF,2046.0,9.0,5.0,1.0,1.0,2.0,123.0,866.894,538.871,0.0,1.8
NECRO,1372.0,24.0,9.0,0.0,0.0,1.0,164.0,568.826,528.256,956.0,2.6666666666666665
SCOUT,396.0,4.0,3.0,0.0,0.0,1.0,8.0,216.972,160.506,0.0,1.3333333333333333
