kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,84163.0,1205.0,1110.0,12.0,22.0,111.0,1951.0,45391.53900000002,118408.92999999996,21051.0,1.0855855855855856
HEAVY,89577.0,1107.0,864.0,31.0,11.0,183.0,5088.0,72979.26499999997,105549.13999999996,0.0,1.28125
NINJA,84614.0,1350.0,2267.0,14.0,66.0,44.0,667.0,97599.36599999995,63228.07299999999,0.0,0.5955006616674019
SOLDIER,278561.0,3716.0,4003.0,151.0,41.0,1110.0,26806.0,178945.4510000001,357354.22499999986,0.0,0.9283037721708719
CHEMIST,2631.0,7.0,18.0,1.0,0.0,1.0,27.0,165.224,291.818,0.0,0.3888888888888889
ARCHER,2184.0,33.0,25.0,0.0,0.0,3.0,11.0,1321.4499999999998,1470.373,0.0,1.32
MAGE,16253.0,72.0,112.0,5.0,8.0,28.0,2175.0,3105.415,5785.612000000001,0.0,0.6428571428571429
ENGINEER,1343.0,20.0,13.0,2.0,1.0,3.0,39.0,793.197,976.838,0.0,1.5384615384615385
PYRO,4138.0,38.0,51.0,1.0,15.0,4.0,86.0,2450.536,3004.1359999999995,0.0,0.7450980392156863
ASSASSIN,10457.0,147.0,209.0,1.0,43.0,6.0,85.0,3701.734999999999,4678.136000000001,0.0,0.7033492822966507
DWARF,876.0,10.0,11.0,3.0,1.0,3.0,70.0,1181.56,955.82,0.0,0.9090909090909091
SCOUT,2402.0,39.0,60.0,2.0,4.0,6.0,57.0,1295.2859999999998,2213.602,0.0,0.65
