kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,132887.0,1954.0,992.0,18.0,134.0,153.0,3057.0,203913.38999999996,142711.74799999996,0.0,1.969758064516129
MEDIC,51341.0,649.0,595.0,19.0,28.0,112.0,2288.0,31604.25499999999,61696.31,19620.0,1.0907563025210083
NINJA,224426.0,3152.0,7070.0,15.0,473.0,109.0,1206.0,353547.47000000003,178561.767,0.0,0.4458274398868458
SOLDIER,122229.0,1656.0,1510.0,30.0,186.0,354.0,7214.0,159240.74699999994,135627.097,0.0,1.0966887417218543
PYRO,82941.0,1438.0,685.0,0.0,358.0,15.0,1187.0,58416.76099999999,51086.87900000001,0.0,2.0992700729927005
DWARF,3384.0,13.0,9.0,3.0,1.0,0.0,743.0,1555.623,970.3249999999999,0.0,1.4444444444444444
ASSASSIN,217303.0,4912.0,4899.0,2.0,876.0,23.0,195.0,122926.639,117146.25800000005,0.0,1.0026536027760768
CHEMIST,96103.0,1499.0,1489.0,52.0,35.0,380.0,8950.0,82399.83899999998,112329.02299999996,0.0,1.0067159167226327
ELF,10158.0,91.0,129.0,2.0,6.0,34.0,642.0,4897.793999999999,8933.673,0.0,0.7054263565891473
ARCHER,16829.0,322.0,168.0,1.0,0.0,2.0,105.0,8902.192000000001,9121.255,0.0,1.9166666666666667
MAGE,10173.0,41.0,75.0,2.0,6.0,22.0,1560.0,3381.3950000000004,4512.735,0.0,0.5466666666666666
ENGINEER,934.0,7.0,4.0,0.0,0.0,1.0,35.0,1084.7730000000001,276.31100000000004,0.0,1.75
NECRO,1720.0,29.0,25.0,0.0,2.0,4.0,24.0,1122.0400000000002,1516.178,0.0,1.16
SCOUT,11705.0,129.0,220.0,1.0,8.0,16.0,231.0,7549.257,7989.923,0.0,0.5863636363636363
