kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,231203.0,4167.0,2326.0,81.0,122.0,631.0,16864.0,288970.5899999999,295675.2249999999,0.0,1.791487532244196
SOLDIER,485874.0,6117.0,6381.0,432.0,338.0,2596.0,86905.0,384351.4340000002,593983.4289999998,0.0,0.9586271744240714
ELF,58493.0,598.0,882.0,40.0,6.0,326.0,8483.0,30603.470999999994,70314.30900000002,0.0,0.6780045351473923
PYRO,151951.0,2990.0,1195.0,1.0,725.0,16.0,343.0,134982.77200000003,119153.22299999998,0.0,2.502092050209205
NINJA,514481.0,10356.0,18404.0,90.0,1146.0,819.0,7640.0,1.0024812480000011e6,514774.58900000004,0.0,0.5627037600521626
ASSASSIN,87712.0,2240.0,2376.0,7.0,284.0,70.0,901.0,63992.878999999986,57419.093,0.0,0.9427609427609428
MEDIC,90867.0,1065.0,1065.0,9.0,39.0,167.0,4003.0,51322.466000000015,111276.75000000003,55110.0,1.0
CHEMIST,151898.0,3291.0,2428.0,88.0,53.0,667.0,18543.0,180021.0950000001,238990.4609999999,0.0,1.3554365733113674
MAGE,6030.0,66.0,77.0,3.0,3.0,12.0,340.0,5583.392,4759.68,0.0,0.8571428571428571
ARCHER,10755.0,233.0,127.0,1.0,4.0,6.0,165.0,7503.809,9446.077,0.0,1.8346456692913387
NECRO,26909.0,774.0,430.0,11.0,8.0,58.0,1510.0,37951.82399999999,44243.55399999999,0.0,1.8
ENGINEER,6446.0,100.0,68.0,1.0,6.0,5.0,133.0,6229.084000000001,6195.473999999999,0.0,1.4705882352941178
DWARF,806.0,12.0,13.0,0.0,1.0,6.0,70.0,950.84,1174.36,0.0,0.9230769230769231
FASHIONISTA,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.299,0.0,0.0
SCOUT,70324.0,673.0,1636.0,1.0,52.0,184.0,989.0,43568.48699999999,63069.542,0.0,0.41136919315403425
