kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
SOLDIER,8788.0,117.0,52.0,3.0,7.0,11.0,419.0,8486.267999999998,5725.719,0.0,2.25
PYRO,112076.0,1886.0,765.0,1.0,295.0,11.0,191.0,62725.45799999999,59662.764999999985,0.0,2.465359477124183
HEAVY,33422.0,464.0,183.0,0.0,44.0,18.0,242.0,44650.23199999999,31845.694,0.0,2.5355191256830603
MEDIC,18879.0,151.0,139.0,0.0,11.0,6.0,423.0,11774.766,15568.989,15518.0,1.0863309352517985
NINJA,10140.0,135.0,213.0,1.0,13.0,4.0,68.0,10415.884,6404.094999999998,0.0,0.6338028169014085
FASHIONISTA,191.0,1.0,3.0,0.0,0.0,0.0,0.0,76.28,46.054,0.0,0.3333333333333333
MAGE,1196.0,5.0,5.0,0.0,3.0,1.0,35.0,492.036,477.161,0.0,1.0
CHEMIST,1482.0,5.0,7.0,0.0,0.0,0.0,0.0,602.24,750.642,0.0,0.7142857142857143
ARCHER,3294.0,61.0,28.0,0.0,0.0,0.0,8.0,1631.477,1708.3249999999998,0.0,2.1785714285714284
ASSASSIN,4584.0,55.0,54.0,0.0,4.0,0.0,0.0,1106.215,1324.9130000000002,0.0,1.0185185185185186
ELF,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,NaN
DWARF,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
ENGINEER,27.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,43.259,0.0,0.0
NECRO,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
