kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,45602.0,985.0,362.0,2.0,143.0,26.0,1386.0,100019.67800000001,69150.22899999999,0.0,2.7209944751381214
NINJA,240652.0,4363.0,8963.0,8.0,909.0,38.0,401.0,523928.714,256551.54699999993,0.0,0.4867789802521477
PYRO,6276.0,149.0,66.0,1.0,30.0,1.0,9.0,7108.703,5712.294,0.0,2.257575757575758
NECRO,47927.0,1197.0,498.0,2.0,63.0,26.0,540.0,77881.74799999999,70726.32900000001,0.0,2.4036144578313254
MEDIC,47375.0,424.0,301.0,6.0,70.0,14.0,541.0,24051.221000000005,33461.05500000001,73580.0,1.4086378737541527
CHEMIST,2762.0,28.0,31.0,0.0,0.0,4.0,61.0,1627.8200000000002,1572.23,0.0,0.9032258064516129
SOLDIER,43205.0,891.0,377.0,4.0,148.0,20.0,624.0,82409.687,50752.90999999999,0.0,2.363395225464191
ASSASSIN,3241.0,76.0,109.0,1.0,12.0,3.0,46.0,2975.284,2630.223,0.0,0.6972477064220184
SCOUT,1596.0,25.0,34.0,0.0,11.0,3.0,30.0,1400.812,1214.6170000000002,0.0,0.7352941176470589
ELF,1792.0,27.0,26.0,2.0,1.0,10.0,314.0,1455.413,2622.503,0.0,1.0384615384615385
ARCHER,292.0,5.0,3.0,0.0,0.0,0.0,0.0,316.006,185.42000000000002,0.0,1.6666666666666667
MAGE,1141.0,13.0,18.0,0.0,0.0,0.0,0.0,1289.5,931.4490000000001,0.0,0.7222222222222222
ENGINEER,420.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,52.964,0.0,0.0
